short_words,long_word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,short.started,fixation.started,fixation.stopped,short_list.started,short_list.stopped,short.stopped,recall1.started,text_2.started,text_2.stopped,textbox.started,text_3.started,mouse.started,recall1.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,long.started,fixation_2.started,long_list.started,fixation_2.stopped,long_list.stopped,long.stopped,recall2.started,text.started,text.stopped,textbox_2.started,text_4.started,mouse_2.started,recall2.stopped,textbox_2.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
egg,,0,0,0,3,,,,,0.014962300017941743,,0.009516899997834116,0.014962300017941743,1.0144637000048533,1.0144637000048533,5.0142159999813884,4.998534500016831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110330,001,2024-12-04_16h35.04.296,Solo_Project,2024.1.5,None,2024-12-04 16h35.13.488000 +0530,
cat,,0,1,1,0,,,,,5.0142159999813884,,4.999055500025861,5.0142159999813884,6.01420729997335,6.01420729997335,10.01395459997002,9.998354699986521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110330,001,2024-12-04_16h35.04.296,Solo_Project,2024.1.5,None,2024-12-04 16h35.13.488000 +0530,
bus,,0,2,2,1,,,,,10.01395459997002,,9.998896199977025,10.01395459997002,11.01388029998634,11.01388029998634,15.0138477999717,14.998469799989834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110330,001,2024-12-04_16h35.04.296,Solo_Project,2024.1.5,None,2024-12-04 16h35.13.488000 +0530,
sun,,0,3,3,2,,,,,15.0138477999717,,14.999000800016802,15.0138477999717,16.01356069999747,16.01356069999747,20.01347960002022,19.997723200009204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110330,001,2024-12-04_16h35.04.296,Solo_Project,2024.1.5,None,2024-12-04 16h35.13.488000 +0530,
air,,0,4,4,4,,,,,20.01347960002022,,19.99824190000072,20.01347960002022,21.01349119999213,21.01349119999213,25.013271800009534,24.997611599974334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110330,001,2024-12-04_16h35.04.296,Solo_Project,2024.1.5,None,2024-12-04 16h35.13.488000 +0530,
,,,,,,,,,,,,,,,,,,24.997694200021215,25.013271800009534,33.02737710002111,33.02737710002111,33.02737710002111,8.026969900005497,48.41291060001822,"air
cat
egg
sun
bus","[-0.012037037037037037, 0.028703703703703703]","[0.022222222222222223, -0.2935185185185185]","[1, 1]","[0, 0]","[0, 0]","[3.628738900006283, 15.384946300007869]",['text_3'],,,,,,,,,,,,,,,,,,,,,,110330,001,2024-12-04_16h35.04.296,Solo_Project,2024.1.5,None,2024-12-04 16h35.13.488000 +0530,
,mountain,,,,,0,0,0,2,48.428805299976375,,,,,,,,,,,,,,,,,,,,,,,48.418893499998376,48.428805299976375,49.412218199984636,49.42859959998168,53.41179949999787,53.39609170000767,,,,,,,,,,,,,,,,110330,001,2024-12-04_16h35.04.296,Solo_Project,2024.1.5,None,2024-12-04 16h35.13.488000 +0530,
,umbrella,,,,,0,1,1,4,53.41179949999787,,,,,,,,,,,,,,,,,,,,,,,53.39659100002609,53.42846179998014,54.42835649999324,54.42835649999324,58.42830560001312,58.41219529998489,,,,,,,,,,,,,,,,110330,001,2024-12-04_16h35.04.296,Solo_Project,2024.1.5,None,2024-12-04 16h35.13.488000 +0530,
,jewelery,,,,,0,2,2,1,58.42830560001312,,,,,,,,,,,,,,,,,,,,,,,58.4125090999878,58.42830560001312,59.42807309998898,59.42807309998898,63.427941099973395,63.41229259996908,,,,,,,,,,,,,,,,110330,001,2024-12-04_16h35.04.296,Solo_Project,2024.1.5,None,2024-12-04 16h35.13.488000 +0530,
,notebook,,,,,0,3,3,3,63.427941099973395,,,,,,,,,,,,,,,,,,,,,,,63.41275720001431,63.427941099973395,64.4279243000201,64.4279243000201,68.42767599999206,68.41223159997026,,,,,,,,,,,,,,,,110330,001,2024-12-04_16h35.04.296,Solo_Project,2024.1.5,None,2024-12-04 16h35.13.488000 +0530,
,crocodile,,,,,0,4,4,0,68.42767599999206,,,,,,,,,,,,,,,,,,,,,,,68.41275740001583,68.42767599999206,69.42758919997141,69.42758919997141,73.42762490001041,73.41178429999854,,,,,,,,,,,,,,,,110330,001,2024-12-04_16h35.04.296,Solo_Project,2024.1.5,None,2024-12-04 16h35.13.488000 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.41189220000524,73.42762490001041,81.42756560002454,81.42756560002454,81.42756560002454,8.01459929998964,97.49430590000702,"mountain
jewelery
notebook
umbrella
elephant",[0.003703703703703704],[-0.31203703703703706],[1],[0],[0],[16.06589119997807],['text_4'],110330,001,2024-12-04_16h35.04.296,Solo_Project,2024.1.5,None,2024-12-04 16h35.13.488000 +0530,
