short_words,long_word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,short.started,fixation.started,short_list.started,fixation.stopped,short.stopped,short_list.stopped,recall1.started,text_2.started,text_2.stopped,textbox.started,text_3.started,mouse.started,recall1.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,long.started,fixation_2.started,long_list.started,fixation_2.stopped,long_list.stopped,long.stopped,recall2.started,text.started,text.stopped,textbox_2.started,text_4.started,mouse_2.started,recall2.stopped,textbox_2.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
bus,,0,0,0,1,,,,,0.027366099995560944,,0.016965200018603355,0.027366099995560944,1.0078042999957688,1.0391889999737032,5.006121599988546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742475,001,2024-12-04_16h56.38.661,Solo_Project,2024.1.5,None,2024-12-04 16h56.48.550367 +0530,
sun,,0,1,1,2,,,,,5.022855299990624,,5.006669400027022,5.022855299990624,6.006110800022725,6.022583100013435,9.990036799979862,10.005881700024474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742475,001,2024-12-04_16h56.38.661,Solo_Project,2024.1.5,None,2024-12-04 16h56.48.550367 +0530,
cat,,0,2,2,0,,,,,10.005881700024474,,9.990625799982809,10.005881700024474,11.005730899982154,11.005730899982154,14.98982249997789,15.005362600029912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742475,001,2024-12-04_16h56.38.661,Solo_Project,2024.1.5,None,2024-12-04 16h56.48.550367 +0530,
air,,0,3,3,4,,,,,15.005362600029912,,14.99051979999058,15.005362600029912,16.00547329999972,16.00547329999972,19.98933890002081,20.005463899986353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742475,001,2024-12-04_16h56.38.661,Solo_Project,2024.1.5,None,2024-12-04 16h56.48.550367 +0530,
egg,,0,4,4,3,,,,,20.005463899986353,,19.98989690002054,20.005463899986353,21.005121399997734,21.005121399997734,24.989263400027994,25.005169400013983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742475,001,2024-12-04_16h56.38.661,Solo_Project,2024.1.5,None,2024-12-04 16h56.48.550367 +0530,
,,,,,,,,,,,,,,,,,,24.989364499982912,25.005169400013983,33.00517239997862,33.00517239997862,33.00517239997862,8.004649500013329,46.009522999986075,"air 
bus
sun
cat
egg","[0.028703703703703703, 0.011111111111111112]","[0.012962962962962963, -0.2824074074074074]","[1, 1]","[0, 0]","[0, 0]","[2.9011402999749407, 13.003294399997685]",['text_3'],,,,,,,,,,,,,,,,,,,,,,742475,001,2024-12-04_16h56.38.661,Solo_Project,2024.1.5,None,2024-12-04 16h56.48.550367 +0530,
,umbrella,,,,,0,0,0,4,46.02847209997708,,,,,,,,,,,,,,,,,,,,,,,46.02239739999641,46.02847209997708,47.02039179997519,47.0371812999947,51.02019269997254,51.00469799997518,,,,,,,,,,,,,,,,742475,001,2024-12-04_16h56.38.661,Solo_Project,2024.1.5,None,2024-12-04 16h56.48.550367 +0530,
,jewelery,,,,,0,1,1,1,51.02019269997254,,,,,,,,,,,,,,,,,,,,,,,51.00521109998226,51.02019269997254,52.02016700000968,52.02016700000968,56.020122800022364,56.00451370002702,,,,,,,,,,,,,,,,742475,001,2024-12-04_16h56.38.661,Solo_Project,2024.1.5,None,2024-12-04 16h56.48.550367 +0530,
,crocodile,,,,,0,2,2,0,56.020122800022364,,,,,,,,,,,,,,,,,,,,,,,56.00503790000221,56.020122800022364,57.02017109998269,57.02017109998269,61.01989300001878,61.003982900001574,,,,,,,,,,,,,,,,742475,001,2024-12-04_16h56.38.661,Solo_Project,2024.1.5,None,2024-12-04 16h56.48.550367 +0530,
,notebook,,,,,0,3,3,3,61.01989300001878,,,,,,,,,,,,,,,,,,,,,,,61.004560000030324,61.01989300001878,62.01987979997648,62.01987979997648,66.01983539998764,66.00399220001418,,,,,,,,,,,,,,,,742475,001,2024-12-04_16h56.38.661,Solo_Project,2024.1.5,None,2024-12-04 16h56.48.550367 +0530,
,mountain,,,,,0,4,4,2,66.01983539998764,,,,,,,,,,,,,,,,,,,,,,,66.0046113000135,66.01983539998764,67.01976420002757,67.01976420002757,71.01962909998838,71.00384359998861,,,,,,,,,,,,,,,,742475,001,2024-12-04_16h56.38.661,Solo_Project,2024.1.5,None,2024-12-04 16h56.48.550367 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.003969900019,71.01962909998838,79.0200614000205,79.0200614000205,79.0200614000205,8.01047069998458,96.22037900000578,"mountain
crocodile
jewelery 
notebook 
umbrella",[0.032407407407407406],[-0.30925925925925923],[1],[0],[0],[17.19936480000615],['text_4'],742475,001,2024-12-04_16h56.38.661,Solo_Project,2024.1.5,None,2024-12-04 16h56.48.550367 +0530,
