short_words,long_word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,short.started,fixation.started,short_list.started,fixation.stopped,short_list.stopped,short.stopped,recall1.started,text_2.started,text_2.stopped,textbox.started,text_3.started,mouse.started,recall1.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,long.started,fixation_2.started,long_list.started,fixation_2.stopped,long_list.stopped,long.stopped,recall2.started,text.started,text.stopped,textbox_2.started,text_4.started,mouse_2.started,recall2.stopped,textbox_2.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
bus,,0,0,0,1,,,,,0.4547564,,0.4474992,0.4547564,0.9994418,1.4663797,4.9994699,4.9839231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,2024-12-04_16h59.17.096,Solo_Project,2024.1.5,None,2024-12-04 16h59.38.232733 +0530
cat,,0,1,1,0,,,,,4.9994699,,4.9844739,4.9994699,6.0163245,5.9993485,10.0161839,10.0000864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,2024-12-04_16h59.17.096,Solo_Project,2024.1.5,None,2024-12-04 16h59.38.232733 +0530
sun,,0,2,2,2,,,,,10.0161839,,10.0006838,10.0161839,11.0158815,11.0158815,15.0157863,14.9997191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,2024-12-04_16h59.17.096,Solo_Project,2024.1.5,None,2024-12-04 16h59.38.232733 +0530
air,,0,3,3,4,,,,,15.0157863,,15.0011314,15.0157863,16.0155056,16.0155056,20.0156996,20.0000943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,2024-12-04_16h59.17.096,Solo_Project,2024.1.5,None,2024-12-04 16h59.38.232733 +0530
egg,,0,4,4,3,,,,,20.0156996,,20.000629,20.0156996,21.015314,21.015314,25.0154869,24.9993446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,2024-12-04_16h59.17.096,Solo_Project,2024.1.5,None,2024-12-04 16h59.38.232733 +0530
,,,,,,,,,,,,,,,,,,24.9994475,25.0154869,33.0307629,33.0307629,33.0307629,8.030253,76.7645371,"bus
cat
sun
air
egg","[0.04351851851851852, -0.005555555555555556, -0.005555555555555556]","[0.001851851851851852, -0.3398148148148148, -0.31203703703703706]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[4.021205299999565, 42.86542420001933, 43.732661200047005]",['text_3'],,,,,,,,,,,,,,,,,,,,,,12,1,2024-12-04_16h59.17.096,Solo_Project,2024.1.5,None,2024-12-04 16h59.38.232733 +0530
,jewelery,,,,,0,0,0,1,76.785799,,,,,,,,,,,,,,,,,,,,,,,76.7762438,76.785799,77.7790569,77.7957459,81.7789605,81.7633976,,,,,,,,,,,,,,,,12,1,2024-12-04_16h59.17.096,Solo_Project,2024.1.5,None,2024-12-04 16h59.38.232733 +0530
,mountain,,,,,0,1,1,2,81.7789605,,,,,,,,,,,,,,,,,,,,,,,81.763984,81.7789605,82.7792439,82.7792439,86.7788384,86.7631099,,,,,,,,,,,,,,,,12,1,2024-12-04_16h59.17.096,Solo_Project,2024.1.5,None,2024-12-04 16h59.38.232733 +0530
,crocodile,,,,,0,2,2,0,86.7788384,,,,,,,,,,,,,,,,,,,,,,,86.7636937,86.7788384,87.7790421,87.7790421,91.7784717,91.7627805,,,,,,,,,,,,,,,,12,1,2024-12-04_16h59.17.096,Solo_Project,2024.1.5,None,2024-12-04 16h59.38.232733 +0530
,notebook,,,,,0,3,3,3,91.7784717,,,,,,,,,,,,,,,,,,,,,,,91.7633041,91.7784717,92.7784692,92.7784692,96.7783334,96.7626227,,,,,,,,,,,,,,,,12,1,2024-12-04_16h59.17.096,Solo_Project,2024.1.5,None,2024-12-04 16h59.38.232733 +0530
,umbrella,,,,,0,4,4,4,96.7783334,,,,,,,,,,,,,,,,,,,,,,,96.7632337,96.7783334,97.7784228,97.7784228,101.7783588,101.7622165,,,,,,,,,,,,,,,,12,1,2024-12-04_16h59.17.096,Solo_Project,2024.1.5,None,2024-12-04 16h59.38.232733 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.7623339,101.7783588,109.7787394,109.7787394,109.7787394,8.0140736,132.1644423,"jewelery
mountain
crocodile
umbrella",[0.023148148148148147],[-0.31666666666666665],[1],[0],[0],[22.384569599991664],['text_4'],12,1,2024-12-04_16h59.17.096,Solo_Project,2024.1.5,None,2024-12-04 16h59.38.232733 +0530
