short_words,long_word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,short.started,fixation.started,short_list.started,fixation.stopped,short_list.stopped,short.stopped,recall1.started,text_2.started,text_2.stopped,textbox.started,text_3.started,mouse.started,recall1.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,long.started,fixation_2.started,long_list.started,fixation_2.stopped,long.stopped,long_list.stopped,recall2.started,text.started,text.stopped,textbox_2.started,text_4.started,mouse_2.started,recall2.stopped,textbox_2.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
air,,0,0,0,4,,,,,0.47060790000250563,,0.46381950000068173,0.47060790000250563,1.0011402999516577,1.484759499959182,5.001273299974855,4.985556599975098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2024-12-04_17h04.11.143,Solo_Project,2024.1.5,None,2024-12-04 17h04.25.268284 +0530,
cat,,0,1,1,0,,,,,5.001273299974855,,4.986133300000802,5.001273299974855,6.00118449999718,6.00118449999718,10.000920699967537,9.9851548000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2024-12-04_17h04.11.143,Solo_Project,2024.1.5,None,2024-12-04 17h04.25.268284 +0530,
bus,,0,2,2,1,,,,,10.000920699967537,,9.985723199963104,10.000920699967537,11.00078649999341,11.00078649999341,15.000564999994822,14.984941399947274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2024-12-04_17h04.11.143,Solo_Project,2024.1.5,None,2024-12-04 17h04.25.268284 +0530,
egg,,0,3,3,3,,,,,15.000564999994822,,14.985490899998695,15.000564999994822,16.000605799956247,16.000605799956247,20.000810700003058,19.984660599962808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2024-12-04_17h04.11.143,Solo_Project,2024.1.5,None,2024-12-04 17h04.25.268284 +0530,
sun,,0,4,4,2,,,,,20.000810700003058,,19.985238399996888,20.000810700003058,21.00030859996332,21.00030859996332,25.000381199992262,24.984410899982322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,001,2024-12-04_17h04.11.143,Solo_Project,2024.1.5,None,2024-12-04 17h04.25.268284 +0530,
,,,,,,,,,,,,,,,,,,24.984520999947563,25.000381199992262,33.001806299958844,33.001806299958844,33.001806299958844,8.001185000000987,49.93394829996396,"air
cat
bus
sun
egg","[0.025925925925925925, 0.020370370370370372]","[0.03611111111111111, -0.3175925925925926]","[1, 1]","[0, 0]","[0, 0]","[4.761473300051875, 16.931121600035112]",['text_3'],,,,,,,,,,,,,,,,,,,,,,14,001,2024-12-04_17h04.11.143,Solo_Project,2024.1.5,None,2024-12-04 17h04.25.268284 +0530,
,crocodile,,,,,0,0,0,0,49.95166339998832,,,,,,,,,,,,,,,,,,,,,,,49.94455299997935,49.95166339998832,50.950619699957315,50.96544030000223,54.948985799972434,,,,,,,,,,,,,,,,,14,001,2024-12-04_17h04.11.143,Solo_Project,2024.1.5,None,2024-12-04 17h04.25.268284 +0530,
,umbrella,,,,,0,1,1,4,54.96538269997109,,,,,,,,,,,,,,,,,,,,,,,54.94951669999864,54.96538269997109,55.94845699996222,55.96508469997207,59.932759499992244,59.94829469994875,,,,,,,,,,,,,,,,14,001,2024-12-04_17h04.11.143,Solo_Project,2024.1.5,None,2024-12-04 17h04.25.268284 +0530,
,mountain,,,,,0,2,2,2,59.94829469994875,,,,,,,,,,,,,,,,,,,,,,,59.9332648999989,59.94829469994875,60.94828509999206,60.94828509999206,64.93227180000395,64.94844209996518,,,,,,,,,,,,,,,,14,001,2024-12-04_17h04.11.143,Solo_Project,2024.1.5,None,2024-12-04 17h04.25.268284 +0530,
,jewelery,,,,,0,3,3,1,64.94844209996518,,,,,,,,,,,,,,,,,,,,,,,64.93285169999581,64.94844209996518,65.9481690999819,65.9481690999819,69.93262199999299,69.94815319997724,,,,,,,,,,,,,,,,14,001,2024-12-04_17h04.11.143,Solo_Project,2024.1.5,None,2024-12-04 17h04.25.268284 +0530,
,notebook,,,,,0,4,4,3,69.94815319997724,,,,,,,,,,,,,,,,,,,,,,,69.93313520000083,69.94815319997724,70.94817649998004,70.94817649998004,74.93202700000256,74.94792859995505,,,,,,,,,,,,,,,,14,001,2024-12-04_17h04.11.143,Solo_Project,2024.1.5,None,2024-12-04 17h04.25.268284 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.93213019997347,74.94792859995505,82.94715329998871,82.94715329998871,82.94715329998871,8.013115599984303,109.56432099995436,"crocodile
umbrella
mountain
jewelery
notebook",[0.027777777777777776],[-0.30833333333333335],[1],[0],[0],[26.616117600002326],['text_4'],14,001,2024-12-04_17h04.11.143,Solo_Project,2024.1.5,None,2024-12-04 17h04.25.268284 +0530,
