short_words,long_word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,short.started,fixation.started,short_list.started,fixation.stopped,short_list.stopped,short.stopped,recall1.started,text_2.started,text_2.stopped,textbox.started,text_3.started,mouse.started,recall1.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,long.started,fixation_2.started,fixation_2.stopped,long_list.started,long_list.stopped,long.stopped,recall2.started,text.started,text.stopped,textbox_2.started,text_4.started,mouse_2.started,recall2.stopped,textbox_2.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
bus,,0,0,0,1,,,,,0.05771319998893887,,0.04925039998488501,0.05771319998893887,1.002701299963519,1.0694484999985434,5.002580299973488,4.987118399993051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,001,2024-12-04_17h06.32.037,Solo_Project,2024.1.5,None,2024-12-04 17h06.44.261169 +0530,
sun,,0,1,1,2,,,,,5.002580299973488,,4.987625199952163,5.002580299973488,6.002299299987499,6.002299299987499,10.00220009998884,9.98667019995628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,001,2024-12-04_17h06.32.037,Solo_Project,2024.1.5,None,2024-12-04 17h06.44.261169 +0530,
air,,0,2,2,4,,,,,10.00220009998884,,9.987314699974377,10.00220009998884,11.00229199999012,11.00229199999012,15.002134899958037,14.986348499951418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,001,2024-12-04_17h06.32.037,Solo_Project,2024.1.5,None,2024-12-04 17h06.44.261169 +0530,
cat,,0,3,3,0,,,,,15.002134899958037,,14.98688260000199,15.002134899958037,16.00197629997274,16.00197629997274,20.0017613999662,19.98594459996093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,001,2024-12-04_17h06.32.037,Solo_Project,2024.1.5,None,2024-12-04 17h06.44.261169 +0530,
egg,,0,4,4,3,,,,,20.0017613999662,,19.98671229998581,20.0017613999662,21.00178979994962,21.00178979994962,25.0015168999671,24.98594659997616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,001,2024-12-04_17h06.32.037,Solo_Project,2024.1.5,None,2024-12-04 17h06.44.261169 +0530,
,,,,,,,,,,,,,,,,,,24.986073199950624,25.0015168999671,33.001637399953324,33.001637399953324,33.001637399953324,8.001030299987178,46.43490519997431,"bus
sun
air
cat
egg","[0.008333333333333333, 0.008333333333333333, 0.02962962962962963]","[0.009259259259259259, 0.009259259259259259, -0.31574074074074077]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[3.11469620000571, 3.3327711999882013, 13.432328100025188]",['text_3'],,,,,,,,,,,,,,,,,,,,,,15,001,2024-12-04_17h06.32.037,Solo_Project,2024.1.5,None,2024-12-04 17h06.44.261169 +0530,
,umbrella,,,,,0,0,0,4,46.45143649994861,,,,,,,,,,,,,,,,,,,,,,,46.44489289994817,46.45143649994861,47.45022069994593,47.45022069994593,51.45017349999398,51.4346262999461,,,,,,,,,,,,,,,,15,001,2024-12-04_17h06.32.037,Solo_Project,2024.1.5,None,2024-12-04 17h06.44.261169 +0530,
,notebook,,,,,0,1,1,3,51.45017349999398,,,,,,,,,,,,,,,,,,,,,,,51.43521419999888,51.45017349999398,52.45006609999109,52.45006609999109,56.44989930000156,56.43433089996688,,,,,,,,,,,,,,,,15,001,2024-12-04_17h06.32.037,Solo_Project,2024.1.5,None,2024-12-04 17h06.44.261169 +0530,
,crocodile,,,,,0,2,2,0,56.44989930000156,,,,,,,,,,,,,,,,,,,,,,,56.434890099975746,56.44989930000156,57.44964700000128,57.44964700000128,61.44963180000195,61.43334699998377,,,,,,,,,,,,,,,,15,001,2024-12-04_17h06.32.037,Solo_Project,2024.1.5,None,2024-12-04 17h06.44.261169 +0530,
,mountain,,,,,0,3,3,2,61.44963180000195,,,,,,,,,,,,,,,,,,,,,,,61.433729799988214,61.44963180000195,62.44950469996547,62.44950469996547,66.44946329999948,66.43366429995513,,,,,,,,,,,,,,,,15,001,2024-12-04_17h06.32.037,Solo_Project,2024.1.5,None,2024-12-04 17h06.44.261169 +0530,
,jewelery,,,,,0,4,4,1,66.44946329999948,,,,,,,,,,,,,,,,,,,,,,,66.43416559998877,66.44946329999948,67.44948889996158,67.44948889996158,71.44932829996105,71.43372209998779,,,,,,,,,,,,,,,,15,001,2024-12-04_17h06.32.037,Solo_Project,2024.1.5,None,2024-12-04 17h06.44.261169 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.43382849998306,71.44932829996105,79.44873349997215,79.44873349997215,79.44873349997215,8.013744299998507,109.13615539995953,"umbrella
notebook
crocodile
jewelery
mountain",[0.007407407407407408],[-0.3111111111111111],[1],[0],[0],[29.68618499999866],['text_4'],15,001,2024-12-04_17h06.32.037,Solo_Project,2024.1.5,None,2024-12-04 17h06.44.261169 +0530,
