short_words,long_word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,short.started,fixation.started,short_list.started,fixation.stopped,short_list.stopped,short.stopped,recall1.started,text_2.started,text_2.stopped,textbox.started,text_3.started,mouse.started,recall1.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,long.started,fixation_2.started,long_list.started,fixation_2.stopped,long_list.stopped,long.stopped,recall2.started,text.started,text.stopped,textbox_2.started,text_4.started,mouse_2.started,recall2.stopped,textbox_2.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
air,,0,0,0,4,,,,,0.13169790001120418,,0.11551089998101816,0.13169790001120418,1.0156564000062644,1.1323256000177935,5.015579200000502,5.000171200023033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,2024-12-04_17h11.33.747,Solo_Project,2024.1.5,None,2024-12-04 17h11.47.122586 +0530,
sun,,0,1,1,2,,,,,5.015579200000502,,5.000782400020398,5.015579200000502,6.0157265000161715,6.0157265000161715,10.015451100014616,9.999724900000729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,2024-12-04_17h11.33.747,Solo_Project,2024.1.5,None,2024-12-04 17h11.47.122586 +0530,
egg,,0,2,2,3,,,,,10.015451100014616,,10.00031139998464,10.015451100014616,11.015292699972633,11.015292699972633,15.015298800019082,14.999704500020016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,2024-12-04_17h11.33.747,Solo_Project,2024.1.5,None,2024-12-04 17h11.47.122586 +0530,
bus,,0,3,3,1,,,,,15.015298800019082,,15.000212599989027,15.015298800019082,16.01537979999557,16.01537979999557,20.015182600007392,19.999119999993127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,2024-12-04_17h11.33.747,Solo_Project,2024.1.5,None,2024-12-04 17h11.47.122586 +0530,
cat,,0,4,4,0,,,,,20.015182600007392,,19.99971419997746,20.015182600007392,21.01486960001057,21.01486960001057,25.01494520000415,24.998807800002396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,2024-12-04_17h11.33.747,Solo_Project,2024.1.5,None,2024-12-04 17h11.47.122586 +0530,
,,,,,,,,,,,,,,,,,,24.998924000014085,25.01494520000415,33.03034210001351,33.03034210001351,33.03034210001351,8.029897400003392,54.58200499997474,"air
sun
egg
cat
bus","[0.005555555555555556, 0.005555555555555556, -0.017592592592592594]","[0.017592592592592594, 0.017592592592592594, -0.2916666666666667]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[10.82979059999343, 10.950560999976005, 21.55075419996865]",['text_3'],,,,,,,,,,,,,,,,,,,,,,17,001,2024-12-04_17h11.33.747,Solo_Project,2024.1.5,None,2024-12-04 17h11.47.122586 +0530,
,jewelery,,,,,0,0,0,1,54.60087540000677,,,,,,,,,,,,,,,,,,,,,,,54.5926349000074,54.60087540000677,55.59643029997824,55.61330229998566,59.59660459996667,59.58076280000387,,,,,,,,,,,,,,,,17,001,2024-12-04_17h11.33.747,Solo_Project,2024.1.5,None,2024-12-04 17h11.47.122586 +0530,
,crocodile,,,,,0,1,1,0,59.59660459996667,,,,,,,,,,,,,,,,,,,,,,,59.581287599983625,59.59660459996667,60.59611809998751,60.59611809998751,64.59629899996798,64.58044049999444,,,,,,,,,,,,,,,,17,001,2024-12-04_17h11.33.747,Solo_Project,2024.1.5,None,2024-12-04 17h11.47.122586 +0530,
,umbrella,,,,,0,2,2,4,64.59629899996798,,,,,,,,,,,,,,,,,,,,,,,64.58098879997851,64.59629899996798,65.59590610000305,65.59590610000305,69.5958360999939,69.58020209998358,,,,,,,,,,,,,,,,17,001,2024-12-04_17h11.33.747,Solo_Project,2024.1.5,None,2024-12-04 17h11.47.122586 +0530,
,mountain,,,,,0,3,3,2,69.5958360999939,,,,,,,,,,,,,,,,,,,,,,,69.58080779999727,69.5958360999939,70.59574479999719,70.59574479999719,74.59603929996956,74.57984780002153,,,,,,,,,,,,,,,,17,001,2024-12-04_17h11.33.747,Solo_Project,2024.1.5,None,2024-12-04 17h11.47.122586 +0530,
,notebook,,,,,0,4,4,3,74.59603929996956,,,,,,,,,,,,,,,,,,,,,,,74.58040709997294,74.59603929996956,75.59536749997642,75.59536749997642,79.59556719998363,79.58004719996825,,,,,,,,,,,,,,,,17,001,2024-12-04_17h11.33.747,Solo_Project,2024.1.5,None,2024-12-04 17h11.47.122586 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.5802207000088,79.59556719998363,87.59513939998578,87.59513939998578,87.59513939998578,8.01304039999377,101.41254579997621," crocodile
umbrella
mountain
",[0.040740740740740744],[-0.29814814814814816],[1],[0],[0],[13.816446399956476],['text_4'],17,001,2024-12-04_17h11.33.747,Solo_Project,2024.1.5,None,2024-12-04 17h11.47.122586 +0530,
