staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.025949999995646067,,0.00910450000083074,0.025949999995646067,0.5695819999964442,0.5695819999964442,0.5762748999986798,0.8756416999967769,1.7951433999987785,left,-10.0,0,0,1.1209173999959603,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
1,2,12.0,1.8080054000020027,,1.7952843999955803,1.8080054000020027,2.30906739999773,2.30906739999773,2.30906739999773,2.6092740000021877,3.1602306999993743,left,-12.0,0,0,0.8461992999946233,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
2,2,14.0,3.1756235000066226,,3.160324700002093,3.1756235000066226,3.6595180000003893,3.6595180000003893,3.6762543999939226,3.9593459000025177,4.110543400005554,left,-14.0,0,0,0.4432037999940803,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
3,2,16.0,4.125986900005955,,4.110662799997954,4.125986900005955,4.626036600006046,4.626036600006046,4.626036600006046,4.925664499998675,6.0105900000053225,left,-16.0,0,0,1.3787768999900436,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
4,2,18.0,6.026363400000264,,6.010793900000863,6.026363400000264,6.608540300003369,6.608540300003369,6.608540300003369,6.908939100001589,7.759762799993041,left,-18.0,0,0,1.1340802000049734,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
5,2,20.0,7.775679900005343,,7.759864499996183,7.775679900005343,8.275980299993535,8.275980299993535,8.275980299993535,8.575155400001677,9.059899200001382,right,20.0,0,0,0.7820172000065213,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
6,2,20.0,9.07504599999811,,9.059985100000631,9.07504599999811,9.558447200004593,9.558447200004593,9.575880200005486,9.858816699997988,10.460501099994872,left,-20.0,0,0,0.8970169999956852,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
7,2,20.0,10.475896400006604,,10.460634699993534,10.475896400006604,10.975291800001287,10.975291800001287,10.975291800001287,11.275533899999573,11.910132799996063,left,-20.0,0,0,0.917819900001632,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
8,2,20.0,11.925708099995973,,11.91025410000293,11.925708099995973,12.425047900003847,12.425047900003847,12.425047900003847,12.72482879999734,13.144715600006748,right,20.0,0,0,0.7052333000028739,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
9,2,20.0,13.158796400006395,,13.144887300004484,13.158796400006395,13.659129899999243,13.659129899999243,13.659129899999243,13.958613099996,14.41021180000098,left,-20.0,0,0,0.7347229000006337,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
10,2,20.0,14.425240299999132,,14.410332100000232,14.425240299999132,14.925460600003134,14.925460600003134,14.925460600003134,15.225081600001431,15.759700800001156,right,20.0,0,0,0.8217143000074429,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
11,2,20.0,15.775046399998246,,15.759866899999906,15.775046399998246,16.274770599993644,16.274770599993644,16.274770599993644,16.57569169999624,17.22666489999392,left,-20.0,0,0,0.9462417000031564,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
12,2,20.0,17.242281200000434,,17.226804599995376,17.242281200000434,17.74163229999249,17.74163229999249,17.74163229999249,18.04176870000083,18.676077199997962,right,20.0,0,0,0.9280510999960825,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
13,2,20.0,18.691622800004552,,18.676199699999415,18.691622800004552,19.175357700005407,19.175357700005407,19.19187249999959,19.474961999992956,19.960112899992964,left,-20.0,0,0,0.7800827000028221,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
14,2,20.0,19.975287399996887,,19.960237599996617,19.975287399996887,20.47476660000393,20.47476660000393,20.47476660000393,20.774437600004603,21.809712000002037,left,-20.0,0,0,1.3177397000108613,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
15,2,20.0,21.824910800001817,,21.809842300004675,21.824910800001817,22.324629199996707,22.324629199996707,22.324629199996707,22.624836400005734,23.626350199992885,right,20.0,0,0,1.297688599996036,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
16,2,20.0,23.64203489999636,,23.626510300004156,23.64203489999636,24.14219929999672,24.14219929999672,24.14219929999672,24.44215200000326,25.24265080000623,left,-20.0,0,0,1.0850346000079298,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
17,2,20.0,25.257950600003824,,25.242741099995328,25.257950600003824,25.758227300000726,25.758227300000726,25.758227300000726,26.057803799994872,26.79338899999857,left,-20.0,0,0,1.0332065999973565,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
18,2,20.0,26.80819710000651,,26.793504100001883,26.80819710000651,27.307985599996755,27.307985599996755,27.307985599996755,27.607766899993294,28.175914399995236,left,-20.0,0,0,0.8551349000044866,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
19,2,20.0,28.191561500003445,,28.176035800002865,28.191561500003445,28.690743400002248,28.690743400002248,28.690743400002248,28.991055100006633,29.725873799994588,left,-20.0,0,0,1.0316105999954743,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
20,2,20.0,29.741118299993104,,29.726016600005096,29.741118299993104,30.22548029999598,30.22548029999598,30.241580699992483,30.525055899997824,32.309083400003146,left,-20.0,0,0,2.075973500002874,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
21,2,20.0,32.324952900002245,,32.30921330000274,32.324952900002245,32.82461539999349,32.82461539999349,32.84110150000197,33.12385089999589,33.592468899994856,left,-20.0,0,0,0.7556870999978855,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
22,2,20.0,33.6080365999951,,33.5925908999925,33.6080365999951,34.10780630000227,34.10780630000227,34.10780630000227,34.407365199993365,35.958455500003765,left,-20.0,0,0,1.8333910999936052,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
23,2,20.0,35.97381399999722,,35.958543000000645,35.97381399999722,36.458630399996764,36.458630399996764,36.47470299999986,36.7739120000042,37.57499419999658,right,20.0,0,0,1.1021786999917822,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
24,2,20.0,37.59134260000428,,37.57509460000438,37.59134260000428,38.07418599999801,38.07418599999801,38.09088829999382,38.37363449999248,39.19134629999462,right,20.0,0,0,1.1033983000088483,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
25,2,20.0,39.20759249999537,,39.191447499993956,39.20759249999537,39.707816499998444,39.707816499998444,39.707816499998444,40.00728629999503,41.67557969999325,right,20.0,0,0,1.9613425999996252,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
26,2,20.0,41.69060000000172,,41.67568250000477,41.69060000000172,42.19055739999749,42.19055739999749,42.19055739999749,42.49092419999943,44.125322199994116,left,-20.0,0,0,1.9298123000044143,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
27,2,20.0,44.139999699997134,,44.12549750000471,44.139999699997134,44.63998389999324,44.63998389999324,44.63998389999324,44.94055290000688,54.60759390000021,left,-20.0,0,0,9.952045900005032,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
28,1,20.0,54.62339130000328,,54.60768780000217,54.62339130000328,55.12369490000128,55.12369490000128,55.12369490000128,55.42278759999317,59.42416520000552,left,-20.0,1,1,4.298386299997219,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
29,1,19.0,59.43977029999951,,59.424283500004094,59.43977029999951,59.9399451000063,59.9399451000063,59.9399451000063,60.239308100004564,62.4916055000067,right,19.0,1,1,2.5481542000052286,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
30,1,19.0,62.50690100000065,,62.49173409999639,62.50690100000065,63.00620839999465,63.00620839999465,63.00620839999465,63.3061713000061,64.40682809999271,left,-19.0,1,1,1.3909466999903088,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
31,1,19.0,64.42292250000173,,64.40691340000194,64.42292250000173,64.90626839999459,64.90626839999459,64.92267709999578,65.20687890000409,65.6912888999941,right,19.0,1,1,0.7769074000098044,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
32,1,18.0,65.7065380999993,,65.69141539999691,65.7065380999993,66.20677659999637,66.20677659999637,66.20677659999637,66.52274000000034,67.15751140000066,left,-18.0,1,1,0.9452171000011731,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
33,1,18.0,67.17255319999822,,67.157615300006,67.17255319999822,67.67287470000156,67.67287470000156,67.67287470000156,67.97212439999566,68.8408907999983,left,-18.0,1,1,1.1532579999911832,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
34,1,18.0,68.85624680000183,,68.84101750000264,68.85624680000183,69.35610259999521,69.35610259999521,69.35610259999521,69.6564262000029,70.19044669999857,right,18.0,1,1,0.8193071999994572,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
35,1,17.0,70.2064909000037,,70.19052859999647,70.2064909000037,70.70638560000225,70.70638560000225,70.70638560000225,71.00537109999277,71.77425099999527,left,-17.0,0,0,1.051762700008112,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
36,1,18.0,71.78939760000503,,71.77437899999495,71.78939760000503,72.289348899998,72.289348899998,72.289348899998,72.58888510000543,75.34122839999327,right,18.0,0,0,3.050152900003013,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
37,1,19.0,75.35570559999906,,75.34137389999523,75.35570559999906,75.85649000000558,75.85649000000558,75.85649000000558,,75.90849539999908,right,19.0,1,1,0.039138599997386336,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
38,1,19.0,75.92276319999655,,75.90864559999318,75.92276319999655,76.42279939999571,76.42279939999571,76.42279939999571,,76.47468519999529,right,19.0,0,0,0.04293499999039341,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
39,1,20.0,76.48968389999936,,76.4748350000009,76.48968389999936,76.9898683999927,76.9898683999927,76.9898683999927,,77.07497539999895,left,-20.0,1,1,0.07766389999596868,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
40,1,20.0,77.08956469999976,,77.07512589999533,77.08956469999976,77.58939819999796,77.58939819999796,77.58939819999796,,77.65824609999254,right,20.0,0,0,0.05157199999666773,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
41,1,20.0,77.67311200000404,,77.6584198000055,77.67311200000404,78.17198319999443,78.17198319999443,78.17198319999443,,78.33956880000187,right,20.0,1,1,0.15558330000203568,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
42,1,20.0,78.35524370000348,,78.33963620000577,78.35524370000348,78.83943089999957,78.83943089999957,78.85602829999698,,79.04069520000485,left,-20.0,0,0,0.19583409999904688,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
43,1,20.0,79.05591409999761,,79.04085340000165,79.05591409999761,79.55553159999545,79.55553159999545,79.55553159999545,79.85548070000368,80.19079560000682,left,-20.0,1,1,0.6209553999942727,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
44,1,20.0,80.20573190000141,,80.19094159999804,80.20573190000141,80.70617520000087,80.70617520000087,80.70617520000087,81.00570199999493,82.55732039999566,left,-20.0,1,1,1.8396116999938386,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
45,1,20.0,82.57204499999352,,82.55742919999466,82.57204499999352,83.07232740000472,83.07232740000472,83.07232740000472,83.3721302000049,83.4396729,right,20.0,0,0,0.35571609999169596,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
46,1,20.0,83.45474279999326,,83.43976579999435,83.45474279999326,83.9386824999965,83.9386824999965,83.95523669999966,84.23862829999416,88.57402060000459,left,-20.0,0,0,4.6302361999987625,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
47,1,20.0,88.58940989999974,,88.57418320000579,88.58940989999974,89.08833889999369,89.08833889999369,89.1051918000012,89.38835930000641,89.37266189999355,right,20.0,1,1,0.2775748999993084,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
48,1,20.0,89.38835930000641,,89.37276569999813,89.38835930000641,89.87227079999866,89.87227079999866,89.8886477000051,,90.07439619999786,left,-20.0,0,0,0.2001929999969434,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
49,1,20.0,90.08883039999637,,90.07456120000279,90.08883039999637,90.58797090000007,90.58797090000007,90.60476790000394,,90.68910259999393,left,-20.0,0,0,0.08413099999597762,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
50,1,20.0,90.70478719999664,,90.68919279999682,90.70478719999664,91.18957509999746,91.18957509999746,91.2056295999937,91.50562440000067,91.77417790000618,left,-20.0,0,0,0.5723845000029542,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
51,1,20.0,91.78931819999707,,91.7743480999925,91.78931819999707,92.28843699999561,92.28843699999561,92.30485479999334,92.58798070000194,92.70603630000551,left,-20.0,0,0,0.4025131000089459,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
52,1,20.0,92.72104259999469,,92.70612220000476,92.72104259999469,93.20540069999697,93.20540069999697,93.22202980000293,93.50593230000231,93.65619559999323,right,20.0,0,0,0.4379330000083428,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
53,1,20.0,93.67102900000464,,93.65630190000229,93.67102900000464,94.15513319999445,94.15513319999445,94.17184429999907,94.4552096999978,94.59056729999429,left,-20.0,1,1,0.43123349999950733,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
54,1,20.0,94.60537010000553,,94.59073140000692,94.60537010000553,95.10447489999933,95.10447489999933,95.10447489999933,95.40472950000549,95.5722073999932,left,-20.0,1,1,0.45127530000172555,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
55,0.5,20.0,95.58767680000165,,95.57233680000354,95.58767680000165,96.07148769999912,96.07148769999912,96.08818570000585,96.37189949999447,96.62273879999702,right,20.0,1,1,0.5343690000008792,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
56,0.5,19.5,96.63779110000178,,96.6228906000033,96.63779110000178,97.13812600000529,97.13812600000529,97.13812600000529,97.43853909999598,97.62309799999639,left,-19.5,1,1,0.4713764999905834,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
57,0.5,19.5,97.63825239999278,,97.6232072999992,97.63825239999278,98.13806250000198,98.13806250000198,98.13806250000198,98.4381837999972,98.77364440000383,right,19.5,1,1,0.6251904999953695,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
