staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.0349898,,0.0176251,0.0349898,0.5402426,0.5402426,0.5512425,0.8517351,1.4811921,left,-10,1,1,0.864077,709079,1,2024-09-06_12h06.00.368,adaptive_staircase,2024.1.5,None,2024-09-06 12h06.11.188768 +0530
1,2,8,1.5007411,,1.4812722,1.5007411,1.9854323,1.9854323,2.0020918,2.2847997,2.4694763,right,8,1,1,0.467288,709079,1,2024-09-06_12h06.00.368,adaptive_staircase,2024.1.5,None,2024-09-06 12h06.11.188768 +0530
2,2,6,2.4851823,,2.469553,2.4851823,2.9854841,2.9854841,2.9854841,3.2845145,3.470157,left,-6,1,1,0.4802817,709079,1,2024-09-06_12h06.00.368,adaptive_staircase,2024.1.5,None,2024-09-06 12h06.11.188768 +0530
3,2,4,3.4851278,,3.4702799,3.4851278,3.9851438,3.9851438,3.9851438,4.2848251,4.4030094,right,4,1,1,0.4119158,709079,1,2024-09-06_12h06.00.368,adaptive_staircase,2024.1.5,None,2024-09-06 12h06.11.188768 +0530
4,2,2,4.4183933,,4.403112,4.4183933,4.9180555,4.9180555,4.9180555,5.218679,5.5521865,right,2,1,1,0.6214353,709079,1,2024-09-06_12h06.00.368,adaptive_staircase,2024.1.5,None,2024-09-06 12h06.11.188768 +0530
5,2,1,5.5680388,,5.5522703,5.5680388,6.0517386,6.0517386,6.0681379,6.3514691,6.5198105,left,-1,1,1,0.4622535,709079,1,2024-09-06_12h06.00.368,adaptive_staircase,2024.1.5,None,2024-09-06 12h06.11.188768 +0530
6,2,1,6.535221,,6.5199112,6.535221,7.0342385,7.0342385,7.0342385,7.335082,7.6037029,right,1,1,1,0.5570526,709079,1,2024-09-06_12h06.00.368,adaptive_staircase,2024.1.5,None,2024-09-06 12h06.11.188768 +0530
7,2,1,7.6180429,,7.6038198,7.6180429,8.1195746,8.1195746,8.1195746,8.4342731,8.88669,left,-1,1,1,0.7551759,709079,1,2024-09-06_12h06.00.368,adaptive_staircase,2024.1.5,None,2024-09-06 12h06.11.188768 +0530
8,2,1,8.9012141,,8.8868277,8.9012141,9.4015388,9.4015388,9.4015388,9.700937,9.7860216,right,1,1,1,0.3784615,709079,1,2024-09-06_12h06.00.368,adaptive_staircase,2024.1.5,None,2024-09-06 12h06.11.188768 +0530
9,2,1,9.8011525,,9.7861356,9.8011525,10.2842346,10.2842346,10.3016196,10.5844299,11.0523033,left,-1,1,1,0.7576402,709079,1,2024-09-06_12h06.00.368,adaptive_staircase,2024.1.5,None,2024-09-06 12h06.11.188768 +0530
