staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.0225929,,0.0046071,0.0225929,0.581084,0.581084,0.588859,0.8889952,1.3615356,left,-10,1,1,0.762722,824494,1,2024-09-12_20h45.24.675,adaptive_staircase,2024.1.5,None,2024-09-12 20h46.03.307120 +0530
1,2,8,1.3719141,,1.3616591,1.3719141,1.8723086,1.8723086,1.8723086,2.1720316,2.4904373,left,-8,1,1,0.6103983,824494,1,2024-09-12_20h45.24.675,adaptive_staircase,2024.1.5,None,2024-09-12 20h46.03.307120 +0530
2,2,6,2.5055866,,2.4905259,2.5055866,3.0055901,3.0055901,3.0055901,3.3061125,3.5245952,right,6,1,1,0.5087182,824494,1,2024-09-12_20h45.24.675,adaptive_staircase,2024.1.5,None,2024-09-12 20h46.03.307120 +0530
3,2,4,3.5391365,,3.5247646,3.5391365,4.0386815,4.0386815,4.0386815,4.3386157,4.6567548,right,4,1,1,0.6014841,824494,1,2024-09-12_20h45.24.675,adaptive_staircase,2024.1.5,None,2024-09-12 20h46.03.307120 +0530
4,1,2,4.6720959,,4.6568674,4.6720959,5.1722605,5.1722605,5.1722605,5.472041,5.6897464,right,2,0,0,0.5080795,824494,1,2024-09-12_20h45.24.675,adaptive_staircase,2024.1.5,None,2024-09-12 20h46.03.307120 +0530
5,1,3,5.7050889,,5.6898523,5.7050889,6.2055376,6.2055376,6.2055376,6.5049962,6.8576234,right,3,1,1,0.6395926,824494,1,2024-09-12_20h45.24.675,adaptive_staircase,2024.1.5,None,2024-09-12 20h46.03.307120 +0530
6,1,3,6.8724417,,6.8578108,6.8724417,7.3720322,7.3720322,7.3720322,7.6718929,7.8733172,right,3,1,1,0.4871472,824494,1,2024-09-12_20h45.24.675,adaptive_staircase,2024.1.5,None,2024-09-12 20h46.03.307120 +0530
7,1,3,7.8886151,,7.8734134,7.8886151,8.3888804,8.3888804,8.3888804,8.688729,8.8741794,right,3,1,1,0.478418,824494,1,2024-09-12_20h45.24.675,adaptive_staircase,2024.1.5,None,2024-09-12 20h46.03.307120 +0530
8,1,2,8.8887161,,8.8743598,8.8887161,9.3887111,9.3887111,9.3887111,9.6880259,9.9732522,left,-2,1,1,0.5686545,824494,1,2024-09-12_20h45.24.675,adaptive_staircase,2024.1.5,None,2024-09-12 20h46.03.307120 +0530
9,1,2,9.988626,,9.9733723,9.988626,10.4889485,10.4889485,10.4889485,10.7887315,11.0573936,left,-2,1,1,0.5598891,824494,1,2024-09-12_20h45.24.675,adaptive_staircase,2024.1.5,None,2024-09-12 20h46.03.307120 +0530
10,1,2,11.0724112,,11.0575685,11.0724112,11.5723466,11.5723466,11.5723466,11.8731144,12.1410545,right,2,1,1,0.5566218,824494,1,2024-09-12_20h45.24.675,adaptive_staircase,2024.1.5,None,2024-09-12 20h46.03.307120 +0530
11,1,1,12.1558741,,12.1412594,12.1558741,12.6551611,12.6551611,12.6551611,12.955213,13.1076105,right,1,1,1,0.4456448,824494,1,2024-09-12_20h45.24.675,adaptive_staircase,2024.1.5,None,2024-09-12 20h46.03.307120 +0530
12,1,1,13.1224367,,13.1077978,13.1224367,13.622421,13.622421,13.622421,13.9222939,14.4737262,right,1,1,1,0.8461365,824494,1,2024-09-12_20h45.24.675,adaptive_staircase,2024.1.5,None,2024-09-12 20h46.03.307120 +0530
13,0.5,1,14.489193,,14.4738723,14.489193,14.9884254,14.9884254,14.9884254,15.2881715,15.8067498,left,-1,0,0,0.8121893,824494,1,2024-09-12_20h45.24.675,adaptive_staircase,2024.1.5,None,2024-09-12 20h46.03.307120 +0530
14,0.5,1.5,15.8223059,,15.8068648,15.8223059,16.3217816,16.3217816,16.3217816,16.6209768,17.1065147,right,1.5,1,1,0.7794831,824494,1,2024-09-12_20h45.24.675,adaptive_staircase,2024.1.5,None,2024-09-12 20h46.03.307120 +0530
15,0.5,1.5,17.1219024,,17.106642,17.1219024,17.6217086,17.6217086,17.6217086,17.922055,18.7232827,left,-1.5,1,1,1.0881745,824494,1,2024-09-12_20h45.24.675,adaptive_staircase,2024.1.5,None,2024-09-12 20h46.03.307120 +0530
16,0.5,1.5,18.7380106,,18.7234213,18.7380106,19.2384488,19.2384488,19.2384488,19.5381513,19.7398782,right,1.5,1,1,0.4997527,824494,1,2024-09-12_20h45.24.675,adaptive_staircase,2024.1.5,None,2024-09-12 20h46.03.307120 +0530
