key_resp.keys,key_resp.corr,tilt,,HIT ,MISS,FA,CR,,,
down,0,0,,,1,,,,,
down,1,4,,,,,1,,,
up,1,0,,,1,,,,,
down,1,-3,,,,,1,,,
up,1,0,,1,,,,,,
down,1,-2,,,,,1,,,
up,0,1,,,,1,,,,
down,0,0,,,1,,,,,
down,1,-2,,,,,1,,,
down,0,0,,,1,,,,,
down,0,0,,,1,,,,,
down,1,4,,,,,1,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
down,1,3,,,,,1,,,
up,1,0,,1,,,,,,
down,0,0,,,1,,,,,
up,1,0,,1,,,,,,
down,1,2,,,,,1,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
down,1,3,,,,,1,,,
down,1,-4,,,,,1,,,
up,1,0,,1,,,,,,
down,1,1,,,,,1,,,
down,0,0,,,1,,,,,
down,1,-4,,,,,1,,,
down,1,-3,,,,,1,,,
up,1,0,,1,,,,,,
down,0,0,,,1,,,,,
down,0,0,,,1,,,,,
up,0,-3,,,,1,,,,
down,0,0,,,1,,,,,
up,1,0,,1,,,,,,
down,1,2,,,,,1,,,
down,1,4,,,,,1,,,
down,1,4,,,,,1,,,
down,0,0,,,1,,,,,
up,1,0,,1,,,,,,
down,1,-4,,,,,1,,,
up,1,0,,1,,,,,,
down,1,4,,,,,1,,,
down,1,4,,,,,1,,,
down,1,-5,,,,,1,,,
up,1,0,,1,,,,,,
down,1,1,,,,,1,,,
down,1,2,,,,,1,,,
up,1,0,,1,,,,,,
down,1,4,,,,,1,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
up,0,1,,,,1,,,,
down,1,-4,,,,,1,,,
up,1,0,,1,,,,,,
down,1,1,,,,,1,,,
down,1,4,,,,,1,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
down,1,2,,,,,1,,,
up,0,-2,,,,1,,,,
down,1,3,,,,,1,,,
down,0,0,,,1,,,,,
down,0,0,,,1,,,,,
up,0,-2,,,,1,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
down,1,4,,,,,1,,,
up,1,0,,1,,,,,,
down,1,4,,,,,1,,,
down,1,-4,,,,,1,,,
down,0,0,,,1,,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
down,1,-3,,,,,1,,,
down,1,2,,,,,1,,,
down,0,0,,,1,,,,,
down,0,0,,,1,,,,,
down,1,1,,,,,1,,,
up,0,-2,,,,1,,,,
up,1,0,,1,,,,,,
up,0,-2,,,,1,,,,
up,1,0,,1,,,,,,
down,1,3,,,,,1,,,
down,1,-5,,,,,1,,,
down,1,2,,,,,1,,,
up,1,0,,1,,,,,,
up,0,1,,,,1,,,,
down,1,4,,,,,1,,,
down,1,1,,,,,1,,,
up,1,0,,1,,,,,,
down,1,-4,,,,,1,,,
down,1,-3,,,,,1,,,
down,1,2,,,,,1,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
up,1,0,,1,,,,,,
down,1,1,,,,,1,,Proportional Hit,0.68
,,,,34,16,8,42,,Proportional FA,0.16
,,,,,,,,,,
,,,,,,,,,d',1.462156682
,,,,,,,,,c,0.263379542
