trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.04403910000110045,,0.02578580001136288,0.04403910000110045,1.1038899999985006,1.1245952000026591,4.13167600001907,up,1,3.0150269999867305,None,0,648363,001,2024-09-16_14h23.28.044,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h23.36.640796 +0530,
1,0,1,0,4.154405400011456,,4.1334744000050705,4.154405400011456,5.139002800016897,5.155630599998403,9.94120090000797,up,0,4.7994590000016615,None,3,648363,001,2024-09-16_14h23.28.044,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h23.36.640796 +0530,
2,0,2,0,9.955684600019595,,9.942674999998417,9.955684600019595,10.955275600019377,10.955275600019377,11.740166500007035,up,1,0.7754165999940597,None,0,648363,001,2024-09-16_14h23.28.044,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h23.36.640796 +0530,
3,0,3,0,11.755603500001598,,11.741496900009224,11.755603500001598,12.755238300014753,12.755238300014753,13.440654300007736,up,0,0.6829553999996278,None,-2,648363,001,2024-09-16_14h23.28.044,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h23.36.640796 +0530,
4,0,4,0,13.45521430001827,,13.442021599999862,13.45521430001827,14.45503560002544,14.45503560002544,15.123796400002902,up,0,0.6640239999978803,None,2,648363,001,2024-09-16_14h23.28.044,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h23.36.640796 +0530,
5,0,5,0,15.138489600009052,,15.125238300010096,15.138489600009052,16.1384323000093,16.1384323000093,16.740973500011023,up,1,0.5998102000157814,None,0,648363,001,2024-09-16_14h23.28.044,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h23.36.640796 +0530,
6,0,6,0,16.755109200021252,,16.74234840000281,16.755109200021252,17.755082200019388,17.755082200019388,18.8234268000233,up,0,1.0603500000142958,None,4,648363,001,2024-09-16_14h23.28.044,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h23.36.640796 +0530,
7,0,7,0,18.8382738000073,,18.82472720000078,18.8382738000073,19.83823350002058,19.83823350002058,20.323499900026945,up,1,0.48291120000067167,None,0,648363,001,2024-09-16_14h23.28.044,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h23.36.640796 +0530,
8,0,8,0,20.338057800021488,,20.324845600000117,20.338057800021488,21.338230400026077,21.338230400026077,24.073200400016503,down,1,2.7259244000015315,None,1,648363,001,2024-09-16_14h23.28.044,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h23.36.640796 +0530,
9,0,9,0,24.088125800015405,,24.0746617000259,24.088125800015405,25.08797069999855,25.08797069999855,27.572883800021373,up,0,2.478486999985762,None,4,648363,001,2024-09-16_14h23.28.044,Task2_SignalDetection,2024.1.5,None,2024-09-16 14h23.36.640796 +0530,
