trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.06445319997146726,,0.006655600038357079,10,0.06445319997146726,0.06445319997146726,0.04594610002823174,2.168779000057839,[0.11018518518518519],[0.1685185185185185],[1],[0],[0],[2.122651100042276],['target'],480720,001,2024-10-10_22h37.42.315,Task3_VisualSearch,2024.1.5,None,2024-10-10 22h37.54.502637 +0530,
1,0,1,0,2.241063200053759,,2.175397300045006,10,2.241063200053759,2.241063200053759,0.03817489999346435,4.98437019996345,[0.41388888888888886],[-0.37222222222222223],[1],[0],[0],[2.7715021999320015],['target'],480720,001,2024-10-10_22h37.42.315,Task3_VisualSearch,2024.1.5,None,2024-10-10 22h37.54.502637 +0530,
2,0,2,0,5.012867800076492,,4.987841199967079,5,5.012867800076492,5.012867800076492,0.016151599935255945,7.037623399985023,[-0.337037037037037],[-0.06851851851851852],[1],[0],[0],[2.0338371000252664],['target'],480720,001,2024-10-10_22h37.42.315,Task3_VisualSearch,2024.1.5,None,2024-10-10 22h37.54.502637 +0530,
3,0,3,0,7.070117900031619,,7.0427627000026405,5,7.070117900031619,7.070117900031619,0.016672200057655573,9.016812999965623,[0.2222222222222222],[0.1175925925925926],[1],[0],[0],[1.9578922999789938],['target'],480720,001,2024-10-10_22h37.42.315,Task3_VisualSearch,2024.1.5,None,2024-10-10 22h37.54.502637 +0530,
4,0,4,0,9.05189970007632,,9.021836100029759,5,9.05189970007632,9.05189970007632,0.01809609995689243,11.417312900070101,[0.023148148148148147],[-0.3648148148148148],[1],[0],[0],[2.3779307000804693],['target'],480720,001,2024-10-10_22h37.42.315,Task3_VisualSearch,2024.1.5,None,2024-10-10 22h37.54.502637 +0530,
5,0,5,0,11.477306400076486,,11.422313899965957,10,11.477306400076486,11.477306400076486,0.03771249996498227,14.517027999972925,[0.45185185185185184],[0.07407407407407407],[1],[0],[0],[3.057510199956596],['target'],480720,001,2024-10-10_22h37.42.315,Task3_VisualSearch,2024.1.5,None,2024-10-10 22h37.54.502637 +0530,
6,0,6,0,14.546756500029005,,14.520724900066853,5,14.546756500029005,14.546756500029005,0.015765000018291175,17.334574899985455,[-0.1361111111111111],[-0.11666666666666667],[1],[0],[0],[2.7984907999634743],['target'],480720,001,2024-10-10_22h37.42.315,Task3_VisualSearch,2024.1.5,None,2024-10-10 22h37.54.502637 +0530,
7,0,7,0,17.391143699991517,,17.341107800020836,10,17.391143699991517,17.391143699991517,0.032036100048571825,19.499755800003186,[0.30925925925925923],[-0.18888888888888888],[1],[0],[0],[2.127420000033453],['target'],480720,001,2024-10-10_22h37.42.315,Task3_VisualSearch,2024.1.5,None,2024-10-10 22h37.54.502637 +0530,
8,0,8,0,19.530486900010146,,19.503550600027665,5,19.530486900010146,19.530486900010146,0.015722100040875375,21.202307300060056,[0.26666666666666666],[-0.1037037037037037],[1],[0],[0],[1.6834944000001997],['target'],480720,001,2024-10-10_22h37.42.315,Task3_VisualSearch,2024.1.5,None,2024-10-10 22h37.54.502637 +0530,
9,0,9,0,21.28517779998947,,21.20796330005396,10,21.28517779998947,21.28517779998947,0.048226900049485266,23.283320200047456,[0.3398148148148148],[-0.2101851851851852],[1],[0],[0],[2.0277085000416264],['target'],480720,001,2024-10-10_22h37.42.315,Task3_VisualSearch,2024.1.5,None,2024-10-10 22h37.54.502637 +0530,
10,0,10,0,23.342835500021465,,23.287093200022355,10,23.342835500021465,23.342835500021465,0.03380530001595616,25.172482899972238,[0.28055555555555556],[0.21944444444444444],[1],[0],[0],[1.851882899994962],['target'],480720,001,2024-10-10_22h37.42.315,Task3_VisualSearch,2024.1.5,None,2024-10-10 22h37.54.502637 +0530,
11,0,11,0,25.202983299968764,,25.17585710005369,5,25.202983299968764,25.202983299968764,0.015151100000366569,33.851762100006454,[0.4935185185185185],[0.15648148148148147],[1],[0],[0],[8.660910099977627],['target'],480720,001,2024-10-10_22h37.42.315,Task3_VisualSearch,2024.1.5,None,2024-10-10 22h37.54.502637 +0530,
12,0,12,0,33.93129169999156,,33.8574624999892,10,33.93129169999156,33.93129169999156,0.0430875999154523,35.4989135999931,[0.12685185185185185],[0.15185185185185185],[1],[0],[0],[1.5990297000389546],['target'],480720,001,2024-10-10_22h37.42.315,Task3_VisualSearch,2024.1.5,None,2024-10-10 22h37.54.502637 +0530,
13,0,13,0,35.52895740000531,,35.502881600055844,5,35.52895740000531,35.52895740000531,0.015078100026585162,37.05014160007704,[0.10925925925925926],[-0.08425925925925926],[1],[0],[0],[1.5322991999564692],['target'],480720,001,2024-10-10_22h37.42.315,Task3_VisualSearch,2024.1.5,None,2024-10-10 22h37.54.502637 +0530,
14,0,14,0,37.11413730005734,,37.0583001000341,10,37.11413730005734,37.11413730005734,0.03951449994929135,39.799852399970405,[0.15],[-0.4824074074074074],[1],[0],[0],[2.7034817999228835],['target'],480720,001,2024-10-10_22h37.42.315,Task3_VisualSearch,2024.1.5,None,2024-10-10 22h37.54.502637 +0530,
15,0,15,0,39.8521286000032,,39.80378419999033,10,39.8521286000032,39.8521286000032,0.03061709995381534,41.51564050000161,[0.026851851851851852],[0.014814814814814815],[1],[0],[0],[1.6815273999236524],['target'],480720,001,2024-10-10_22h37.42.315,Task3_VisualSearch,2024.1.5,None,2024-10-10 22h37.54.502637 +0530,
16,0,16,0,41.60902029997669,,41.51981520000845,10,41.60902029997669,41.60902029997669,0.05887500010430813,43.999159099999815,[0.46111111111111114],[0.14444444444444443],[1],[0],[0],[2.4210853000404313],['target'],480720,001,2024-10-10_22h37.42.315,Task3_VisualSearch,2024.1.5,None,2024-10-10 22h37.54.502637 +0530,
17,0,17,0,44.02824320003856,,44.00264810002409,5,44.02824320003856,44.02824320003856,0.015537000028416514,46.61572170001455,[0.07037037037037037],[0.175],[1],[0],[0],[2.5976792000001296],['target'],480720,001,2024-10-10_22h37.42.315,Task3_VisualSearch,2024.1.5,None,2024-10-10 22h37.54.502637 +0530,
18,0,18,0,46.65050540002994,,46.621321200043894,5,46.65050540002994,46.65050540002994,0.018365000025369227,49.79855269996915,[-0.44537037037037036],[0.14537037037037037],[1],[0],[0],[3.1595526000019163],['target'],480720,001,2024-10-10_22h37.42.315,Task3_VisualSearch,2024.1.5,None,2024-10-10 22h37.54.502637 +0530,
