num_distr,mouse.time
5,1.9054836
10,1.4837357
5,1.4689978
10,0.4051007
10,0.14475
10,0.1708565
5,0.1441479
10,0.1547821
5,0.1265744
5,0.1290159
10,0.0699252
5,0.1213835
10,0.1113766
5,0.1376952
10,0.146119
10,0.1566715
5,0.1413851
5,0.1609575
10,0.1058643
5,0.2046666
10,0.126273
10,0.1355277
10,0.134151
10,0.130123
10,0.1002286
5,0.143263
5,0.1628781
5,0.1616326
5,0.1446414
10,0.1301706
10,0.119012
5,0.1507999
5,0.1187723
10,0.1111546
5,0.1215666
10,0.1016647
10,0.1096541
10,0.1439148
10,0.1248452
10,0.1059886
5,0.130976
10,0.0867796
10,0.1456253
10,0.11579
10,0.1512044
5,0.1219082
10,0.1075564
10,0.0959362
5,0.1391486
5,0.1573256
10,0.1190017
10,0.1458915
10,0.1264497
5,0.165162
5,0.1599013
5,0.1510066
5,0.163518
10,0.0947324
5,0.1623658
5,0.1096858
10,0.1213974
10,0.0938743
5,0.166788
10,0.0887958
5,0.1336593
10,0.0897679
10,0.1535321
10,0.101808
10,0.15262
5,0.1509063
5,0.3156098
5,0.1446599
5,0.5141336
5,0.1418576
10,0.0916125
10,0.1211833
5,0.1419784
10,0.1311121
10,0.1281737
5,0.1471535
10,0.086139
5,0.1561154
5,0.1605512
10,0.0722701
10,0.1248395
5,0.1467749
5,0.1391979
5,0.1359912
10,0.1178494
5,0.1613338
10,0.1475146
5,0.1548493
5,0.1549965
5,0.1340688
10,0.1280691
5,0.1811679
10,0.1207849
5,0.1343672
10,0.120402
5,0.1452792
10,0.1138293
5,0.157578
10,0.088934
10,0.1233977
5,0.1269933
10,0.1005952
5,0.1307304
10,0.0963398
10,0.1331536
10,0.1402638
5,0.1385602
10,0.1277671
5,0.146921
5,0.1603369
10,0.1064804
10,0.1425569
5,0.1592611
5,0.1446855
5,0.1487503
10,0.1135385
5,0.1575109
10,0.1732274
5,0.1388426
5,0.1792802
5,0.1205725
10,0.1583087
5,0.1478783
5,0.8060909
10,0.1022929
5,0.148043
10,0.1059709
5,0.1546229
10,0.1132286
5,0.1702663
10,0.128366
10,0.1061358
5,0.1748764
10,0.1180999
5,0.1315277
10,0.1580848
10,0.2846117
10,0.460262
5,0.1391756
5,0.047049
5,0.0695788
10,0.0594649
10,0.0620872
5,0.0942654
10,0.0497937
10,0.0788913
10,0.5271941
5,0.0642365
10,0.2896013
5,0.1744198
5,0.21412
5,0.3564121
10,0.0916439
5,0.0739323
10,0.0509161
10,0.0817449
10,0.0830452
10,0.078294
5,0.0940454
5,0.0745533
5,0.1822377
10,0.0614777
5,0.0832032
5,0.0611599
5,0.0968991
10,0.0338953
10,0.0306331
5,0.1061059
10,0.0354246
10,0.5437537
10,0.184415
5,0.2167902
5,0.0580114
10,0.0350612
5,0.0664776
10,0.0717534
5,0.1092998
5,0.2166764
5,0.1149144
10,0.0329638
5,0.1135491
5,0.072176
10,0.2135107
10,0.5057329
10,0.0727729
10,0.0337062
5,0.0780906
10,0.06609
5,0.1827074
5,0.033091
5,0.1226537
5,0.1235008
5,0.3568469
5,0.0806038
10,0.095795
10,0.2682387
5,1.4769692
5,2.2562246
5,1.2769246
10,1.1725315
10,1.4174667
5,1.0208106
5,2.1603289
10,1.9969496
10,1.289085
5,1.0443672
5,1.6222529
10,1.0184843
10,1.533612
10,1.9065723
5,1.615603
10,1.5033764
5,1.8025604
10,1.7291723
5,1.5815268
5,1.2675903
10,3.3465016
10,2.359736
10,1.8681704
5,1.8328919
5,1.3334958
5,1.3055862
10,2.5751035
10,1.1350037
10,2.5552395
5,1.2096952
10,1.9315237
10,3.8369075
5,1.4791103
10,1.2814229
10,1.9764842
10,3.02354
5,1.0158102
10,0.957229
10,1.1770964
10,3.478303
5,1.5813591
5,1.1469539
10,1.3547857
10,1.9252549
5,1.5714637
10,1.1551692
5,1.4914645
10,3.4941705
5,1.5971994
10,2.358175
5,1.0446276
5,1.0756683
5,1.4318116
5,1.1283155
5,1.6296935
10,1.6955363
10,1.2644156
5,1.1824865
10,1.1991608
10,1.873785
10,1.7902829
5,2.448795
5,1.5265866
10,2.7369777
10,1.6240094
5,1.4436873
10,1.2880405
5,1.5701701
10,1.3782381
10,1.3876045
10,1.3607532
10,1.7990992
10,1.1816968
10,3.2674977
5,1.2897911
10,1.0105807
5,1.3288601
5,0.8472218
5,1.8213332
5,2.196789
10,1.5717586
5,1.795845
10,1.6056476
5,1.3173383
5,2.0432648
5,1.4602001
10,1.5618124
5,1.9533051
10,2.2317701
10,1.8597271
10,1.8278294
5,1.7238666
5,1.6842014
10,1.5280267
10,2.4605036
5,2.3289043
5,2.0419375
5,1.8919095
10,1.3209119
5,1.6051368
10,2.9377064
10,2.742628
10,2.4056631
5,4.9163762
10,3.8490084
5,1.0446882
10,1.9730745
5,1.8481039
5,1.4744668
5,0.8817047
10,2.5496626
5,1.7737821
10,1.7545221
10,2.1642312
10,2.0876166
10,2.5334231
5,1.9263847
5,1.8133745
10,3.3714291
5,2.0067487
10,2.0323419
5,1.658249
5,1.7453323
5,1.2157304
5,1.419684
5,1.5250237
5,1.3255004
10,2.3954392
10,0.965753
10,3.9163594
5,1.500002
5,1.3241421
5,1.5397849
10,1.488175
10,2.4838829
10,1.2367691
10,2.2792475
10,1.3957551
10,1.229865
10,3.1673776
10,2.17268
10,1.5839409
5,1.6403685
10,1.6040943
5,1.2388574
5,1.1760499
10,1.7378075
5,0.8519658
10,1.2973136
5,1.0257443
5,1.4073502
5,1.5804323
