trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.0349912999663502,,0.0058385999873280525,5,0.0349912999663502,0.0349912999663502,0.025868099997751415,2.8599658999592066,[0.0],[0.287962962962963],[1],[0],[0],[2.832839300041087],[],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
1,0,1,0,2.9271455999696627,,2.8693218999542296,10,2.9271455999696627,2.9271455999696627,0.04489140002988279,3.5648342999629676,[0.044444444444444446],[0.22037037037037038],[0],[0],[1],[0.6515223999740556],[],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
2,0,2,0,3.610870199976489,,3.5723169000120834,5,3.610870199976489,3.610870199976489,0.025505100027658045,5.9559594000456855,[0.13333333333333333],[-0.046296296296296294],[0],[0],[1],[2.3589614999946207],[],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
3,0,3,0,5.99040549993515,,5.961993300006725,5,5.99040549993515,5.99040549993515,0.019455299945548177,8.172187099931762,[0.22037037037037038],[0.1287037037037037],[1],[0],[0],[2.1912529000546783],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
4,0,4,0,8.228572999942116,,8.177460400038399,10,8.228572999942116,8.228572999942116,0.03200269991066307,9.405655300011858,[0.3296296296296296],[0.25092592592592594],[1],[0],[0],[1.1965803999919444],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
5,0,5,0,9.488365800003521,,9.41292789997533,10,9.488365800003521,9.488365800003521,0.05845260003115982,12.118217600043863,[-0.12314814814814815],[0.20833333333333334],[1],[0],[0],[2.6476478000404313],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
6,0,6,0,12.160884300014004,,12.126435499987565,5,12.160884300014004,12.160884300014004,0.02553560002706945,18.15960879996419,[0.15925925925925927],[0.3351851851851852],[1],[0],[0],[6.008412499912083],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
7,0,7,0,18.21662009996362,,18.167171400040388,5,18.21662009996362,18.21662009996362,0.03361780010163784,19.65490610001143,[-0.5009259259259259],[0.21388888888888888],[1],[0],[0],[1.45488179998938],[],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
8,0,8,0,19.691152599989437,,19.661744500044733,5,19.691152599989437,19.691152599989437,0.019870099960826337,20.854819900006987,[-0.20092592592592592],[0.3824074074074074],[1],[0],[0],[1.173658199957572],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
9,0,9,0,20.924391699954867,,20.862572100013494,10,20.924391699954867,20.924391699954867,0.044330400065518916,25.533103100024164,[0.32592592592592595],[-0.175],[1],[0],[0],[4.62711749994196],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
