key_resp.corr,key_resp.rt,,Corr,Seq_RT,Corr,RanRT,,Seq_RT,Ran_RT,,,
1,0.7759729,,1,0.7759729,1,0.5068225,,0.7759729,0.5068225,,0.343634702,0.701514052
1,0.4985905,,1,0.4985905,1,0.434885,,0.4985905,0.434885,,,
1,0.771703,,1,0.771703,1,0.4572833,,0.771703,0.4572833,,,
1,0.4090026,,1,0.4090026,1,0.4088478,,0.4090026,0.4088478,,,
1,0.2589525,,1,0.2589525,1,0.6871649,,0.2589525,0.6871649,,,
1,0.0664573,,1,0.0664573,1,0.5569134,,0.0664573,0.5569134,,,
1,0.3407313,,1,0.3407313,1,0.8459132,,0.3407313,0.8459132,,,
1,0.3403109,,1,0.3403109,1,0.9400276,,0.3403109,0.9400276,,,
1,0.3199569,,1,0.3199569,1,0.821992,,0.3199569,0.821992,,,
1,0.3740949,,1,0.3740949,1,1.0126583,,0.3740949,1.0126583,,,
1,0.5308413,,1,0.5308413,1,0.3858663,,0.5308413,0.3858663,,,
1,0.695911,,1,0.695911,1,0.3497247,,0.695911,0.3497247,,,
1,0.3466905,,1,0.3466905,1,0.8030111,,0.3466905,0.8030111,,,
1,0.3052808,,1,0.3052808,1,0.6871738,,0.3052808,0.6871738,,,
1,0.3379115,,1,0.3379115,1,0.4701495,,0.3379115,0.4701495,,,
1,0.3007192,,1,0.3007192,1,0.7645407,,0.3007192,0.7645407,,,
1,0.3212279,,1,0.3212279,1,0.6132612,,0.3212279,0.6132612,,,
1,0.4868124,,1,0.4868124,1,0.7053165,,0.4868124,0.7053165,,,
1,0.3262124,,1,0.3262124,1,0.5641311,,0.3262124,0.5641311,,,
1,0.2718001,,1,0.2718001,1,0.7257459,,0.2718001,0.7257459,,,
1,0.2562641,,1,0.2562641,1,0.5193745,,0.2562641,0.5193745,,,
1,0.4355794,,1,0.4355794,1,0.6937917,,0.4355794,0.6937917,,,
1,0.4512741,,1,0.4512741,1,0.7279506,,0.4512741,0.7279506,,,
1,0.4264543,,1,0.4264543,1,1.1114575,,0.4264543,1.1114575,,,
1,0.2688269,,1,0.2688269,1,1.0179103,,0.2688269,1.0179103,,,
1,0.4342965,,1,0.4342965,1,0.7765129,,0.4342965,0.7765129,,,
1,0.2532816,,1,0.2532816,1,0.7991822,,0.2532816,0.7991822,,,
1,0.3143081,,1,0.3143081,1,0.9875164,,0.3143081,0.9875164,,,
1,0.3079045,,1,0.3079045,1,0.804198,,0.3079045,0.804198,,,
1,0.4675222,,1,0.4675222,1,0.7848593,,0.4675222,0.7848593,,,
1,0.3626148,,1,0.3626148,1,0.6771085,,0.3626148,0.6771085,,,
1,0.3602595,,1,0.3602595,1,0.3556055,,0.3602595,0.3556055,,,
1,0.456404,,1,0.456404,1,0.6896082,,0.456404,0.6896082,,,
1,0.4779115,,1,0.4779115,1,0.516222,,0.4779115,0.516222,,,
1,0.4110617,,1,0.4110617,1,0.4501899,,0.4110617,0.4501899,,,
1,0.2751076,,1,0.2751076,1,1.2387785,,0.2751076,1.2387785,,,
1,0.1656562,,1,0.1656562,1,0.6520962,,0.1656562,0.6520962,,,
1,0.1965286,,1,0.1965286,1,0.6132233,,0.1965286,0.6132233,,,
1,0.2798071,,1,0.2798071,1,0.7903917,,0.2798071,0.7903917,,,
1,0.2679331,,1,0.2679331,1,0.4997475,,0.2679331,0.4997475,,,
1,0.2970416,,1,0.2970416,1,0.8030046,,0.2970416,0.8030046,,,
1,0.0837496,,1,0.0837496,1,0.8937814,,0.0837496,0.8937814,,,
1,0.1846578,,1,0.1846578,1,0.745487,,0.1846578,0.745487,,,
1,0.3039473,,1,0.3039473,1,0.5900964,,0.3039473,0.5900964,,,
1,0.2617666,,1,0.2617666,1,0.722851,,0.2617666,0.722851,,,
1,0.2865212,,1,0.2865212,1,0.4599766,,0.2865212,0.4599766,,,
1,0.2796085,,1,0.2796085,1,1.0135059,,0.2796085,1.0135059,,,
1,0.3014565,,1,0.3014565,1,0.4709155,,0.3014565,0.4709155,,,
1,0.249875,,1,0.249875,1,0.7037045,,0.249875,0.7037045,,,
1,0.2869317,,1,0.2869317,1,0.6156327,,0.2869317,0.6156327,,,
1,0.2774462,,1,0.2774462,1,0.4835492,,0.2774462,0.4835492,,,
1,0.3595535,,1,0.3595535,1,0.8468188,,0.3595535,0.8468188,,,
1,0.3070926,,1,0.3070926,1,0.7249999,,0.3070926,0.7249999,,,
1,0.308161,,1,0.308161,1,0.6678367,,0.308161,0.6678367,,,
1,0.3533184,,1,0.3533184,1,0.4183685,,0.3533184,0.4183685,,,
1,0.3050571,,1,0.3050571,1,0.7315185,,0.3050571,0.7315185,,,
1,0.261888,,1,0.261888,1,0.6215927,,0.261888,0.6215927,,,
1,0.4134399,,1,0.4134399,1,0.5400961,,0.4134399,0.5400961,,,
1,0.3141258,,1,0.3141258,1,0.7768253,,0.3141258,0.7768253,,,
1,0.3401295,,1,0.3401295,1,0.6722797,,0.3401295,0.6722797,,,
1,0.2806799,,1,0.2806799,1,0.6406484,,0.2806799,0.6406484,,,
1,0.6559348,,1,0.6559348,1,0.5591715,,0.6559348,0.5591715,,,
1,0.2703384,,1,0.2703384,1,0.8231561,,0.2703384,0.8231561,,,
1,0.3347486,,1,0.3347486,1,0.709243,,0.3347486,0.709243,,,
1,0.3759844,,1,0.3759844,1,1.0998749,,0.3759844,1.0998749,,,
1,0.4035389,,1,0.4035389,1,0.6084835,,0.4035389,0.6084835,,,
1,0.3588531,,1,0.3588531,1,0.7408161,,0.3588531,0.7408161,,,
1,0.3413533,,1,0.3413533,1,0.5163997,,0.3413533,0.5163997,,,
1,0.3207132,,1,0.3207132,1,0.8301992,,0.3207132,0.8301992,,,
1,0.3075732,,1,0.3075732,1,0.5036945,,0.3075732,0.5036945,,,
1,0.2655823,,1,0.2655823,1,0.7661767,,0.2655823,0.7661767,,,
1,0.3538608,,1,0.3538608,1,0.7265609,,0.3538608,0.7265609,,,
1,0.4185534,,1,0.4185534,1,0.5161913,,0.4185534,0.5161913,,,
1,0.7919741,,1,0.7919741,1,0.4450445,,0.7919741,0.4450445,,,
1,0.1443635,,1,0.1443635,1,0.8666709,,0.1443635,0.8666709,,,
1,0.3810547,,1,0.3810547,1,0.8348739,,0.3810547,0.8348739,,,
1,0.3040439,,1,0.3040439,1,0.5515543,,0.3040439,0.5515543,,,
1,0.3182922,,1,0.3182922,1,0.5821795,,0.3182922,0.5821795,,,
1,0.331911,,1,0.331911,1,0.5404017,,0.331911,0.5404017,,,
1,0.5968075,,1,0.5968075,1,1.1635062,,0.5968075,1.1635062,,,
1,0.3068772,,1,0.3068772,1,0.8517238,,0.3068772,0.8517238,,,
0,0.3996154,,0,0.3996154,1,0.5299815,,0.3659731,0.4220804,,,
1,0.3659731,,1,0.3659731,1,0.4220804,,0.3564346,0.5955021,,,
1,0.3564346,,1,0.3564346,1,0.5955021,,0.3415315,0.7810357,,,
1,0.3415315,,1,0.3415315,1,0.7810357,,0.3418101,0.7669205,,,
1,0.3418101,,1,0.3418101,1,0.7669205,,0.2949501,0.8611974,,,
1,0.2949501,,1,0.2949501,1,0.8611974,,0.279812,0.4366882,,,
1,0.279812,,1,0.279812,1,0.4366882,,0.2995799,0.5318971,,,
1,0.2995799,,1,0.2995799,1,0.5318971,,0.2375138,0.5124827,,,
1,0.2375138,,1,0.2375138,1,0.5124827,,0.2765194,0.942879,,,
1,0.2765194,,1,0.2765194,1,0.942879,,0.2374321,1.1626058,,,
1,0.2374321,,1,0.2374321,1,1.1626058,,0.401484,0.4718226,,,
1,0.401484,,1,0.401484,1,0.4718226,,0.5014809,0.5918503,,,
1,0.5014809,,1,0.5014809,1,0.5918503,,0.4853372,0.6978925,,,
1,0.4145146,,1,0.4145146,0,0.5697821,,0.2451801,0.8256547,,,
1,0.4853372,,1,0.4853372,1,0.6978925,,0.2688502,0.7658424,,,
1,0.2451801,,1,0.2451801,1,0.8256547,,0.0145122,0.3867921,,,
1,0.2688502,,1,0.2688502,1,0.7658424,,0.0602871,0.691939,,,
1,0.0145122,,1,0.0145122,1,0.3867921,,0.0467459,0.6572979,,,
1,0.0602871,,1,0.0602871,1,0.691939,,0.2769302,0.4753644,,,
1,0.0467459,,1,0.0467459,1,0.6572979,,0.4240632,0.7696818,,,
0,0.1071736,,0,0.1071736,1,0.7545342,,0.3087037,0.7745158,,,
1,0.2769302,,1,0.2769302,1,0.4753644,,0.3449195,0.4408406,,,
1,0.4240632,,1,0.4240632,1,0.7696818,,0.3550236,1.0160856,,,
1,0.3087037,,1,0.3087037,1,0.7745158,,0.4949,0.872918,,,
1,0.3449195,,1,0.3449195,1,0.4408406,,0.4201985,0.7110958,,,
1,0.3550236,,1,0.3550236,1,1.0160856,,0.3715138,0.5416947,,,
1,0.4949,,1,0.4949,1,0.872918,,0.2679892,0.7966178,,,
1,0.4201985,,1,0.4201985,1,0.7110958,,0.3806127,0.8936136,,,
1,0.3715138,,1,0.3715138,1,0.5416947,,0.4267118,0.7400159,,,
1,0.2679892,,1,0.2679892,1,0.7966178,,0.297484,0.7220053,,,
1,0.2221481,,1,0.2221481,0,0.9537696,,0.3059157,0.7499288,,,
1,0.3806127,,1,0.3806127,1,0.8936136,,0.2724058,0.5619303,,,
1,0.4267118,,1,0.4267118,1,0.7400159,,0.2323618,0.7959015,,,
1,0.297484,,1,0.297484,1,0.7220053,,0.2988771,0.7496743,,,
1,0.3059157,,1,0.3059157,1,0.7499288,,0.324621,0.6433714,,,
1,0.2724058,,1,0.2724058,1,0.5619303,,0.3405896,0.5662435,,,
1,0.2323618,,1,0.2323618,1,0.7959015,,0.2275251,0.9932146,,,
1,0.2988771,,1,0.2988771,1,0.7496743,,0.2875184,1.0370706,,,
1,0.324621,,1,0.324621,1,0.6433714,,0.2740622,0.8865832,,,
1,0.3405896,,1,0.3405896,1,0.5662435,,0.3123281,0.5146438,,,
1,0.2275251,,1,0.2275251,1,0.9932146,,0.4113049,0.5461329,,,
1,0.2875184,,1,0.2875184,1,1.0370706,,0.3341786,0.7729001,,,
1,0.2740622,,1,0.2740622,1,0.8865832,,0.2788522,0.7338799,,,
1,0.3123281,,1,0.3123281,1,0.5146438,,0.3276494,0.6713234,,,
1,0.4113049,,1,0.4113049,1,0.5461329,,0.6718834,0.903085,,,
1,0.3341786,,1,0.3341786,1,0.7729001,,0.3022458,0.9247098,,,
1,0.2788522,,1,0.2788522,1,0.7338799,,0.3055157,0.9634595,,,
1,0.3276494,,1,0.3276494,1,0.6713234,,0.2946318,0.6346922,,,
1,0.6718834,,1,0.6718834,1,0.903085,,0.3083439,0.5615204,,,
1,0.3022458,,1,0.3022458,1,0.9247098,,0.3648333,0.6144736,,,
1,0.3055157,,1,0.3055157,1,0.9634595,,0.283785,0.5998194,,,
1,0.2946318,,1,0.2946318,1,0.6346922,,0.3743676,0.676113,,,
1,0.3083439,,1,0.3083439,1,0.5615204,,0.1166979,1.1131127,,,
1,0.3648333,,1,0.3648333,1,0.6144736,,0.3096481,0.6367382,,,
1,0.283785,,1,0.283785,1,0.5998194,,0.4657521,0.4160522,,,
1,0.3743676,,1,0.3743676,1,0.676113,,0.2649178,0.8989644,,,
1,0.1166979,,1,0.1166979,1,1.1131127,,0.2957449,0.4088634,,,
1,0.3096481,,1,0.3096481,1,0.6367382,,0.285959,0.6659488,,,
1,0.4657521,,1,0.4657521,1,0.4160522,,0.275,0.710356,,,
1,0.2649178,,1,0.2649178,1,0.8989644,,0.3244533,0.6659837,,,
1,0.2957449,,1,0.2957449,1,0.4088634,,0.2874486,0.7051113,,,
1,0.285959,,1,0.285959,1,0.6659488,,0.4705393,0.4605563,,,
1,0.275,,1,0.275,1,0.710356,,0.5446773,0.8191837,,,
1,0.3244533,,1,0.3244533,1,0.6659837,,0.3959792,0.7377579,,,
1,0.2874486,,1,0.2874486,1,0.7051113,,0.4056512,0.628646,,,
1,0.4705393,,1,0.4705393,1,0.4605563,,0.5833081,0.6497361,,,
1,0.5446773,,1,0.5446773,1,0.8191837,,0.5877082,0.6730422,,,
1,0.3959792,,1,0.3959792,1,0.7377579,,0.4841761,0.4926316,,,
1,0.4056512,,1,0.4056512,1,0.628646,,0.2914804,1.0128747,,,
1,0.5833081,,1,0.5833081,1,0.6497361,,0.3078649,0.8829165,,,
1,0.5877082,,1,0.5877082,1,0.6730422,,0.2387392,0.4520372,,,
1,0.4841761,,1,0.4841761,1,0.4926316,,0.5906533,0.8291685,,,
1,0.2914804,,1,0.2914804,1,1.0128747,,0.3720806,0.3774521,,,
1,0.3078649,,1,0.3078649,1,0.8829165,,0.2920397,0.7493485,,,
1,0.2387392,,1,0.2387392,1,0.4520372,,0.1791247,0.3488129,,,
1,0.5906533,,1,0.5906533,1,0.8291685,,0.297966,1.0777455,,,
1,0.3720806,,1,0.3720806,1,0.3774521,,0.2632018,0.9561925,,,
1,0.2920397,,1,0.2920397,1,0.7493485,,0.2574021,0.9301513,,,
1,0.1791247,,1,0.1791247,1,0.3488129,,0.2980799,1.04752,,,
1,0.297966,,1,0.297966,1,1.0777455,,0.4458967,0.7982384,,,
1,0.2632018,,1,0.2632018,1,0.9561925,,0.3994702,0.6160827,,,
1,0.2574021,,1,0.2574021,1,0.9301513,,0.3797897,0.9198445,,,
1,0.2980799,,1,0.2980799,1,1.04752,,0.7754122,1.2272891,,,
1,0.4458967,,1,0.4458967,1,0.7982384,,0.3399412,0.4845575,,,
1,0.3994702,,1,0.3994702,1,0.6160827,,0.3645859,1.1466412,,,
1,0.3797897,,1,0.3797897,1,0.9198445,,0.2976545,0.7820549,,,
1,0.7754122,,1,0.7754122,1,1.2272891,,0.3628132,0.7565313,,,
1,0.3399412,,1,0.3399412,1,0.4845575,,0.4533802,0.6495883,,,
1,0.3645859,,1,0.3645859,1,1.1466412,,0.3755058,0.6740043,,,
1,0.2976545,,1,0.2976545,1,0.7820549,,0.3223085,0.6636453,,,
1,0.3628132,,1,0.3628132,1,0.7565313,,0.3287192,0.9475714,,,
1,0.4533802,,1,0.4533802,1,0.6495883,,0.4676742,0.8012342,,,
1,0.3755058,,1,0.3755058,1,0.6740043,,0.3943094,0.2865629,,,
1,0.3223085,,1,0.3223085,1,0.6636453,,0.2646203,0.4417597,,,
1,0.3287192,,1,0.3287192,1,0.9475714,,0.5748791,0.3561044,,,
1,0.4676742,,1,0.4676742,1,0.8012342,,0.3061802,0.5356118,,,
1,0.3943094,,1,0.3943094,1,0.2865629,,0.4082107,0.5583892,,,
1,0.2646203,,1,0.2646203,1,0.4417597,,0.2968151,0.4547854,,,
1,0.5748791,,1,0.5748791,1,0.3561044,,0.2998837,0.8029227,,,
1,0.3061802,,1,0.3061802,1,0.5356118,,0.271081,0.6183028,,,
1,0.4082107,,1,0.4082107,1,0.5583892,,0.219772,0.4893845,,,
1,0.2968151,,1,0.2968151,1,0.4547854,,0.4305799,0.5074229,,,
1,0.2998837,,1,0.2998837,1,0.8029227,,0.3166593,0.7421364,,,
1,0.271081,,1,0.271081,1,0.6183028,,0.2897768,0.7335517,,,
1,0.219772,,1,0.219772,1,0.4893845,,0.2999218,1.0001319,,,
1,0.6312842,,1,0.6312842,0,0.3868666,,0.0515021,0.8315089,,,
1,0.4305799,,1,0.4305799,1,0.5074229,,0.2396687,0.6255177,,,
1,0.3166593,,1,0.3166593,1,0.7421364,,0.3569764,0.8240752,,,
1,0.2897768,,1,0.2897768,1,0.7335517,,0.2631762,0.7699037,,,
1,0.2999218,,1,0.2999218,1,1.0001319,,0.3379619,0.6275359,,,
1,0.0515021,,1,0.0515021,1,0.8315089,,0.4986543,0.8550207,,,
1,0.2396687,,1,0.2396687,1,0.6255177,,0.3665388,0.6670928,,,
1,0.3569764,,1,0.3569764,1,0.8240752,,0.294236,0.6620587,,,
1,0.2631762,,1,0.2631762,1,0.7699037,,0.2826552,0.807207,,,
1,0.3379619,,1,0.3379619,1,0.6275359,,,,,,
1,0.4986543,,1,0.4986543,1,0.8550207,,,,,,
1,0.3665388,,1,0.3665388,1,0.6670928,,,,,,
1,0.294236,,1,0.294236,1,0.6620587,,,,,,
1,0.2826552,,1,0.2826552,1,0.807207,,,,,,
1,0.5068225,,,,,,,,,,,
1,0.434885,,,,,,,,,,,
1,0.4572833,,,,,,,,,,,
1,0.4088478,,,,,,,,,,,
1,0.6871649,,,,,,,,,,,
1,0.5569134,,,,,,,,,,,
1,0.8459132,,,,,,,,,,,
1,0.9400276,,,,,,,,,,,
1,0.821992,,,,,,,,,,,
1,1.0126583,,,,,,,,,,,
1,0.3858663,,,,,,,,,,,
1,0.3497247,,,,,,,,,,,
1,0.8030111,,,,,,,,,,,
1,0.6871738,,,,,,,,,,,
1,0.4701495,,,,,,,,,,,
1,0.7645407,,,,,,,,,,,
1,0.6132612,,,,,,,,,,,
1,0.7053165,,,,,,,,,,,
1,0.5641311,,,,,,,,,,,
1,0.7257459,,,,,,,,,,,
1,0.5193745,,,,,,,,,,,
1,0.6937917,,,,,,,,,,,
1,0.7279506,,,,,,,,,,,
1,1.1114575,,,,,,,,,,,
1,1.0179103,,,,,,,,,,,
1,0.7765129,,,,,,,,,,,
1,0.7991822,,,,,,,,,,,
1,0.9875164,,,,,,,,,,,
1,0.804198,,,,,,,,,,,
1,0.7848593,,,,,,,,,,,
1,0.6771085,,,,,,,,,,,
1,0.3556055,,,,,,,,,,,
1,0.6896082,,,,,,,,,,,
1,0.516222,,,,,,,,,,,
1,0.4501899,,,,,,,,,,,
1,1.2387785,,,,,,,,,,,
1,0.6520962,,,,,,,,,,,
1,0.6132233,,,,,,,,,,,
1,0.7903917,,,,,,,,,,,
1,0.4997475,,,,,,,,,,,
1,0.8030046,,,,,,,,,,,
1,0.8937814,,,,,,,,,,,
1,0.745487,,,,,,,,,,,
1,0.5900964,,,,,,,,,,,
1,0.722851,,,,,,,,,,,
1,0.4599766,,,,,,,,,,,
1,1.0135059,,,,,,,,,,,
1,0.4709155,,,,,,,,,,,
1,0.7037045,,,,,,,,,,,
1,0.6156327,,,,,,,,,,,
1,0.4835492,,,,,,,,,,,
1,0.8468188,,,,,,,,,,,
1,0.7249999,,,,,,,,,,,
1,0.6678367,,,,,,,,,,,
1,0.4183685,,,,,,,,,,,
1,0.7315185,,,,,,,,,,,
1,0.6215927,,,,,,,,,,,
1,0.5400961,,,,,,,,,,,
1,0.7768253,,,,,,,,,,,
1,0.6722797,,,,,,,,,,,
1,0.6406484,,,,,,,,,,,
1,0.5591715,,,,,,,,,,,
1,0.8231561,,,,,,,,,,,
1,0.709243,,,,,,,,,,,
1,1.0998749,,,,,,,,,,,
1,0.6084835,,,,,,,,,,,
1,0.7408161,,,,,,,,,,,
1,0.5163997,,,,,,,,,,,
1,0.8301992,,,,,,,,,,,
1,0.5036945,,,,,,,,,,,
1,0.7661767,,,,,,,,,,,
1,0.7265609,,,,,,,,,,,
1,0.5161913,,,,,,,,,,,
1,0.4450445,,,,,,,,,,,
1,0.8666709,,,,,,,,,,,
1,0.8348739,,,,,,,,,,,
1,0.5515543,,,,,,,,,,,
1,0.5821795,,,,,,,,,,,
1,0.5404017,,,,,,,,,,,
1,1.1635062,,,,,,,,,,,
1,0.8517238,,,,,,,,,,,
1,0.5299815,,,,,,,,,,,
1,0.4220804,,,,,,,,,,,
1,0.5955021,,,,,,,,,,,
1,0.7810357,,,,,,,,,,,
1,0.7669205,,,,,,,,,,,
1,0.8611974,,,,,,,,,,,
1,0.4366882,,,,,,,,,,,
1,0.5318971,,,,,,,,,,,
1,0.5124827,,,,,,,,,,,
1,0.942879,,,,,,,,,,,
1,1.1626058,,,,,,,,,,,
1,0.4718226,,,,,,,,,,,
1,0.5918503,,,,,,,,,,,
0,0.5697821,,,,,,,,,,,
1,0.6978925,,,,,,,,,,,
1,0.8256547,,,,,,,,,,,
1,0.7658424,,,,,,,,,,,
1,0.3867921,,,,,,,,,,,
1,0.691939,,,,,,,,,,,
1,0.6572979,,,,,,,,,,,
1,0.7545342,,,,,,,,,,,
1,0.4753644,,,,,,,,,,,
1,0.7696818,,,,,,,,,,,
1,0.7745158,,,,,,,,,,,
1,0.4408406,,,,,,,,,,,
1,1.0160856,,,,,,,,,,,
1,0.872918,,,,,,,,,,,
1,0.7110958,,,,,,,,,,,
1,0.5416947,,,,,,,,,,,
1,0.7966178,,,,,,,,,,,
0,0.9537696,,,,,,,,,,,
1,0.8936136,,,,,,,,,,,
1,0.7400159,,,,,,,,,,,
1,0.7220053,,,,,,,,,,,
1,0.7499288,,,,,,,,,,,
1,0.5619303,,,,,,,,,,,
1,0.7959015,,,,,,,,,,,
1,0.7496743,,,,,,,,,,,
1,0.6433714,,,,,,,,,,,
1,0.5662435,,,,,,,,,,,
1,0.9932146,,,,,,,,,,,
1,1.0370706,,,,,,,,,,,
1,0.8865832,,,,,,,,,,,
1,0.5146438,,,,,,,,,,,
1,0.5461329,,,,,,,,,,,
1,0.7729001,,,,,,,,,,,
1,0.7338799,,,,,,,,,,,
1,0.6713234,,,,,,,,,,,
1,0.903085,,,,,,,,,,,
1,0.9247098,,,,,,,,,,,
1,0.9634595,,,,,,,,,,,
1,0.6346922,,,,,,,,,,,
1,0.5615204,,,,,,,,,,,
1,0.6144736,,,,,,,,,,,
1,0.5998194,,,,,,,,,,,
1,0.676113,,,,,,,,,,,
1,1.1131127,,,,,,,,,,,
1,0.6367382,,,,,,,,,,,
1,0.4160522,,,,,,,,,,,
1,0.8989644,,,,,,,,,,,
1,0.4088634,,,,,,,,,,,
1,0.6659488,,,,,,,,,,,
1,0.710356,,,,,,,,,,,
1,0.6659837,,,,,,,,,,,
1,0.7051113,,,,,,,,,,,
1,0.4605563,,,,,,,,,,,
1,0.8191837,,,,,,,,,,,
1,0.7377579,,,,,,,,,,,
1,0.628646,,,,,,,,,,,
1,0.6497361,,,,,,,,,,,
1,0.6730422,,,,,,,,,,,
1,0.4926316,,,,,,,,,,,
1,1.0128747,,,,,,,,,,,
1,0.8829165,,,,,,,,,,,
1,0.4520372,,,,,,,,,,,
1,0.8291685,,,,,,,,,,,
1,0.3774521,,,,,,,,,,,
1,0.7493485,,,,,,,,,,,
1,0.3488129,,,,,,,,,,,
1,1.0777455,,,,,,,,,,,
1,0.9561925,,,,,,,,,,,
1,0.9301513,,,,,,,,,,,
1,1.04752,,,,,,,,,,,
1,0.7982384,,,,,,,,,,,
1,0.6160827,,,,,,,,,,,
1,0.9198445,,,,,,,,,,,
1,1.2272891,,,,,,,,,,,
1,0.4845575,,,,,,,,,,,
1,1.1466412,,,,,,,,,,,
1,0.7820549,,,,,,,,,,,
1,0.7565313,,,,,,,,,,,
1,0.6495883,,,,,,,,,,,
1,0.6740043,,,,,,,,,,,
1,0.6636453,,,,,,,,,,,
1,0.9475714,,,,,,,,,,,
1,0.8012342,,,,,,,,,,,
1,0.2865629,,,,,,,,,,,
1,0.4417597,,,,,,,,,,,
1,0.3561044,,,,,,,,,,,
1,0.5356118,,,,,,,,,,,
1,0.5583892,,,,,,,,,,,
1,0.4547854,,,,,,,,,,,
1,0.8029227,,,,,,,,,,,
1,0.6183028,,,,,,,,,,,
1,0.4893845,,,,,,,,,,,
0,0.3868666,,,,,,,,,,,
1,0.5074229,,,,,,,,,,,
1,0.7421364,,,,,,,,,,,
1,0.7335517,,,,,,,,,,,
1,1.0001319,,,,,,,,,,,
1,0.8315089,,,,,,,,,,,
1,0.6255177,,,,,,,,,,,
1,0.8240752,,,,,,,,,,,
1,0.7699037,,,,,,,,,,,
1,0.6275359,,,,,,,,,,,
1,0.8550207,,,,,,,,,,,
1,0.6670928,,,,,,,,,,,
1,0.6620587,,,,,,,,,,,
1,0.807207,,,,,,,,,,,
