study_words,test,References,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,testing.started,text_2.started,textbox.started,text_3.started,mouse.started,testing.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
poster,,,,0,0,0,14,,,,,0.03492149998783134,,0.0074711999914143234,0.03492149998783134,0.03492149998783134,1.1376671999896644,1.2851851851851852,1.10494020000624,,,,,,,,,,,,,,,,,,,263360,001,2024-11-06_23h44.44.147,Task5_WordPriming,2024.1.5,None,2024-11-06 23h44.54.317248 +0530,
phone,,,,0,1,1,2,,,,,1.1579377000016393,,1.1380750999960583,1.1579377000016393,1.1579377000016393,1.4208485999988625,1.2851851851851852,0.2581367999955546,,,,,,,,,,,,,,,,,,,263360,001,2024-11-06_23h44.44.147,Task5_WordPriming,2024.1.5,None,2024-11-06 23h44.54.317248 +0530,
case,,,,0,2,2,10,,,,,1.4388550000003306,,1.4211186999891652,1.4388550000003306,1.4388550000003306,1.6540597999992315,1.2851851851851852,0.20999719999963418,,,,,,,,,,,,,,,,,,,263360,001,2024-11-06_23h44.44.147,Task5_WordPriming,2024.1.5,None,2024-11-06 23h44.54.317248 +0530,
cushion,,,,0,3,3,1,,,,,1.6720215999957873,,1.6544011999940267,1.6720215999957873,1.6720215999957873,1.88791439999477,1.288888888888889,0.21097669999289792,,,,,,,,,,,,,,,,,,,263360,001,2024-11-06_23h44.44.147,Task5_WordPriming,2024.1.5,None,2024-11-06 23h44.54.317248 +0530,
chart,,,,0,4,4,6,,,,,1.9052098999964073,,1.8881889999902342,1.9052098999964073,1.9052098999964073,2.120203799990122,1.288888888888889,0.20993040000030305,,,,,,,,,,,,,,,,,,,263360,001,2024-11-06_23h44.44.147,Task5_WordPriming,2024.1.5,None,2024-11-06 23h44.54.317248 +0530,
marble,,,,0,5,5,3,,,,,2.137307899989537,,2.1204832999937935,2.137307899989537,2.137307899989537,2.3371518999920227,1.288888888888889,0.19406140000501182,,,,,,,,,,,,,,,,,,,263360,001,2024-11-06_23h44.44.147,Task5_WordPriming,2024.1.5,None,2024-11-06 23h44.54.317248 +0530,
book,,,,0,6,6,0,,,,,2.3544532999949297,,2.3374270999920554,2.3544532999949297,2.3544532999949297,2.5376708999974653,1.288888888888889,0.17805560000124387,,,,,,,,,,,,,,,,,,,263360,001,2024-11-06_23h44.44.147,Task5_WordPriming,2024.1.5,None,2024-11-06 23h44.54.317248 +0530,
cruise,,,,0,7,7,11,,,,,2.5544697000004817,,2.53794029999699,2.5544697000004817,2.5544697000004817,2.7541108000004897,1.288888888888889,0.19367720000445843,,,,,,,,,,,,,,,,,,,263360,001,2024-11-06_23h44.44.147,Task5_WordPriming,2024.1.5,None,2024-11-06 23h44.54.317248 +0530,
pastry,,,,0,8,8,9,,,,,2.772658000001684,,2.754385899999761,2.772658000001684,2.772658000001684,2.9535554999893066,1.288888888888889,0.1770016999944346,,,,,,,,,,,,,,,,,,,263360,001,2024-11-06_23h44.44.147,Task5_WordPriming,2024.1.5,None,2024-11-06 23h44.54.317248 +0530,
t-shirt,,,,0,9,9,7,,,,,2.9716581999964546,,2.9538198999944143,2.9716581999964546,2.9716581999964546,3.1876262000005227,1.288888888888889,0.2115961000090465,,,,,,,,,,,,,,,,,,,263360,001,2024-11-06_23h44.44.147,Task5_WordPriming,2024.1.5,None,2024-11-06 23h44.54.317248 +0530,
mouse,,,,0,10,10,8,,,,,3.207711899987771,,3.1879158999945503,3.207711899987771,3.207711899987771,3.4050488999928348,1.288888888888889,0.1936126999935368,,,,,,,,,,,,,,,,,,,263360,001,2024-11-06_23h44.44.147,Task5_WordPriming,2024.1.5,None,2024-11-06 23h44.54.317248 +0530,
police,,,,0,11,11,12,,,,,3.422515799989924,,3.4053359999961685,3.422515799989924,3.422515799989924,3.619974100001855,1.288888888888889,0.19525960000464693,,,,,,,,,,,,,,,,,,,263360,001,2024-11-06_23h44.44.147,Task5_WordPriming,2024.1.5,None,2024-11-06 23h44.54.317248 +0530,
laptop,,,,0,12,12,5,,,,,3.6365084999997634,,3.620303399991826,3.6365084999997634,3.6365084999997634,3.837282699998468,1.288888888888889,0.19485359999816865,,,,,,,,,,,,,,,,,,,263360,001,2024-11-06_23h44.44.147,Task5_WordPriming,2024.1.5,None,2024-11-06 23h44.54.317248 +0530,
keys,,,,0,13,13,13,,,,,3.854037999990396,,3.837551299991901,3.854037999990396,3.854037999990396,4.053530799996224,1.288888888888889,0.1937391999963438,,,,,,,,,,,,,,,,,,,263360,001,2024-11-06_23h44.44.147,Task5_WordPriming,2024.1.5,None,2024-11-06 23h44.54.317248 +0530,
board,,,,0,14,14,4,,,,,4.07168449999881,,4.05379959999118,4.07168449999881,4.07168449999881,4.270273199988878,1.288888888888889,0.1942202000063844,,,,,,,,,,,,,,,,,,,263360,001,2024-11-06_23h44.44.147,Task5_WordPriming,2024.1.5,None,2024-11-06 23h44.54.317248 +0530,
,_a_bl_,marble,old,,,,,0,0,0,11,4.294306099996902,,,,,,,,4.273823199997423,4.294306099996902,4.294306099996902,4.294306099996902,0.006585900002392009,7.567930699995486,table,"[-0.42777777777777776, -0.07407407407407407]","[-0.3074074074074074, -0.29907407407407405]","[1, 1]","[0, 0]","[0, 0]","[0.12372719999984838, 3.290344599998207]",['text_3'],,,,,263360,001,2024-11-06_23h44.44.147,Task5_WordPriming,2024.1.5,None,2024-11-06 23h44.54.317248 +0530,
,bo_t_e,bottle,new,,,,,0,1,1,18,7.583612899994478,,,,,,,,7.56888789999357,7.583612899994478,7.583612899994478,7.583612899994478,0.0024437999963993207,13.334292399988044,bottle,[-0.04722222222222222],[-0.3111111111111111],[1],[0],[0],[5.762493999995058],['text_3'],,,,,263360,001,2024-11-06_23h44.44.147,Task5_WordPriming,2024.1.5,None,2024-11-06 23h44.54.317248 +0530,
,p_nc_l,pencil,new,,,,,0,2,2,16,13.349704599997494,,,,,,,,13.334842600001139,13.349704599997494,13.349704599997494,13.349704599997494,0.0023435000039171427,16.98425039999711,pencil,[-0.04351851851851852],[-0.30185185185185187],[1],[0],[0],[3.6463936000072863],['text_3'],,,,,263360,001,2024-11-06_23h44.44.147,Task5_WordPriming,2024.1.5,None,2024-11-06 23h44.54.317248 +0530,
,_o_rd,board,old,,,,,0,3,3,10,16.99973469998804,,,,,,,,16.98566839999694,16.99973469998804,16.99973469998804,16.99973469998804,0.0028731000056723133,19.86800879999646,board,[-0.04259259259259259],[-0.30092592592592593],[1],[0],[0],[2.879111800008104],['text_3'],,,,,263360,001,2024-11-06_23h44.44.147,Task5_WordPriming,2024.1.5,None,2024-11-06 23h44.54.317248 +0530,
,v_s_,vase,new,,,,,0,4,4,17,19.8828027999989,,,,,,,,19.86855129999458,19.8828027999989,19.8828027999989,19.8828027999989,0.003871900000376627,22.150422799997614,vase,[-0.04351851851851852],[-0.30092592592592593],[1],[0],[0],[2.2775599000015063],['text_3'],,,,,263360,001,2024-11-06_23h44.44.147,Task5_WordPriming,2024.1.5,None,2024-11-06 23h44.54.317248 +0530,
,_ou_e,mouse,old,,,,,0,5,5,3,22.16576740000164,,,,,,,,22.150992999988375,22.16576740000164,22.16576740000164,22.16576740000164,0.0026935999921988696,25.716881200001808,mouse,[-0.04351851851851852],[-0.30092592592592593],[1],[0],[0],[3.5627029000024777],['text_3'],,,,,263360,001,2024-11-06_23h44.44.147,Task5_WordPriming,2024.1.5,None,2024-11-06 23h44.54.317248 +0530,
,c_s_io_,cushion,old,,,,,0,6,6,14,25.732537899995805,,,,,,,,25.717416799991042,25.732537899995805,25.732537899995805,25.732537899995805,0.0026913000037893653,30.153829399991082,cushion,[-0.053703703703703705],[-0.3],[1],[0],[0],[4.433378299989272],['text_3'],,,,,263360,001,2024-11-06_23h44.44.147,Task5_WordPriming,2024.1.5,None,2024-11-06 23h44.54.317248 +0530,
,_oo_,book,old,,,,,0,7,7,13,30.165635899989866,,,,,,,,30.15438209999411,30.165635899989866,30.165635899989866,30.165635899989866,0.002195099994423799,32.65521309999167,book,[-0.053703703703703705],[-0.3055555555555556],[1],[0],[0],[2.4982601999945473],['text_3'],,,,,263360,001,2024-11-06_23h44.44.147,Task5_WordPriming,2024.1.5,None,2024-11-06 23h44.54.317248 +0530,
,t_hi_t,tshirt,old,,,,,0,8,8,2,32.66567190000205,,,,,,,,32.65578099999402,32.66567190000205,32.66567190000205,32.66567190000205,0.0023788999969838187,35.482743299988215,tshirt,[-0.05277777777777778],[-0.30648148148148147],[1],[0],[0],[2.8241411999915726],['text_3'],,,,,263360,001,2024-11-06_23h44.44.147,Task5_WordPriming,2024.1.5,None,2024-11-06 23h44.54.317248 +0530,
,k_y_,keys,old,,,,,0,9,9,8,35.498652800000855,,,,,,,,35.48329789999116,35.498652800000855,35.498652800000855,35.498652800000855,0.0022250999900279567,38.101734999989276,keys,[-0.044444444444444446],[-0.2935185185185185],[1],[0],[0],[2.6157398999930592],['text_3'],,,,,263360,001,2024-11-06_23h44.44.147,Task5_WordPriming,2024.1.5,None,2024-11-06 23h44.54.317248 +0530,
,c_m_ra,camera,new,,,,,0,10,10,19,38.11527879998903,,,,,,,,38.1025582000002,38.11527879998903,38.11527879998903,38.11527879998903,0.003088700002990663,40.732964800001355,camera,[-0.03981481481481482],[-0.3101851851851852],[1],[0],[0],[2.6269906999950763],['text_3'],,,,,263360,001,2024-11-06_23h44.44.147,Task5_WordPriming,2024.1.5,None,2024-11-06 23h44.54.317248 +0530,
