study_words,test,References,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,testing.started,text_2.started,textbox.started,text_3.started,mouse.started,testing.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
book,,,,0,0,0,0,,,,,0.056157200000598095,,0.009755399994901381,0.056157200000598095,0.056157200000598095,1.4196644999901764,1.8185185185185184,1.3840439000050537,,,,,,,,,,,,,,,961448,001,2024-11-06_23h39.08.937,Task5_WordPriming,2024.1.5,None,2024-11-06 23h39.24.588681 +0530,
phone,,,,0,1,1,2,,,,,1.449468999999226,,1.4222079999890411,1.449468999999226,1.449468999999226,2.106930399997509,1.7148148148148148,0.6514855999994325,,,,,,,,,,,,,,,961448,001,2024-11-06_23h39.08.937,Task5_WordPriming,2024.1.5,None,2024-11-06 23h39.24.588681 +0530,
mouse,,,,0,2,2,8,,,,,2.137465299994801,,2.107447599992156,2.137465299994801,2.137465299994801,2.79577659998904,1.6,0.6601588999910746,,,,,,,,,,,,,,,961448,001,2024-11-06_23h39.08.937,Task5_WordPriming,2024.1.5,None,2024-11-06 23h39.24.588681 +0530,
police,,,,0,3,3,12,,,,,2.8279773999965983,,2.7963479999889387,2.8279773999965983,2.8279773999965983,3.4251436999911675,1.5666666666666667,0.6007799000071827,,,,,,,,,,,,,,,961448,001,2024-11-06_23h39.08.937,Task5_WordPriming,2024.1.5,None,2024-11-06 23h39.24.588681 +0530,
poster,,,,0,4,4,14,,,,,3.4461967999959597,,3.425440399994841,3.4461967999959597,3.4461967999959597,3.904260199997225,1.5666666666666667,0.4518642000039108,,,,,,,,,,,,,,,961448,001,2024-11-06_23h39.08.937,Task5_WordPriming,2024.1.5,None,2024-11-06 23h39.24.588681 +0530,
board,,,,0,5,5,4,,,,,3.932793399988441,,3.904647199989995,3.932793399988441,3.932793399988441,4.41150529999868,1.5666666666666667,0.47750940000696573,,,,,,,,,,,,,,,961448,001,2024-11-06_23h39.08.937,Task5_WordPriming,2024.1.5,None,2024-11-06 23h39.24.588681 +0530,
cushion,,,,0,6,6,1,,,,,4.429664299997967,,4.411827499992796,4.429664299997967,4.429664299997967,4.936919100000523,1.5703703703703704,0.5016544999962207,,,,,,,,,,,,,,,961448,001,2024-11-06_23h39.08.937,Task5_WordPriming,2024.1.5,None,2024-11-06 23h39.24.588681 +0530,
marble,,,,0,7,7,3,,,,,4.954591399990022,,4.937198699990404,4.954591399990022,4.954591399990022,5.358575499994913,1.5703703703703704,0.3954866999993101,,,,,,,,,,,,,,,961448,001,2024-11-06_23h39.08.937,Task5_WordPriming,2024.1.5,None,2024-11-06 23h39.24.588681 +0530,
case,,,,0,8,8,10,,,,,5.379321299988078,,5.359059999987949,5.379321299988078,5.379321299988078,6.011145500000566,1.7740740740740741,0.6292222999909427,,,,,,,,,,,,,,,961448,001,2024-11-06_23h39.08.937,Task5_WordPriming,2024.1.5,None,2024-11-06 23h39.24.588681 +0530,
pastry,,,,0,9,9,9,,,,,6.042660899998737,,6.011692799991579,6.042660899998737,6.042660899998737,6.481347499997355,1.7925925925925925,0.4417128000059165,,,,,,,,,,,,,,,961448,001,2024-11-06_23h39.08.937,Task5_WordPriming,2024.1.5,None,2024-11-06 23h39.24.588681 +0530,
