delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,polygon.started,key.started,trial.stopped,key.keys,key.rt,key.duration,Beep_Sound.started,sound_1.started,sound_1.stopped,Beep_Sound.stopped,Responses.started,text.started,textbox.started,button.started,Responses.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart
0.1,1000,unexp,0,0,0,3,0.0107857,,0.0075009,0.0107857,5.0200491,7.0031812,7.0031812,7.672419,space,0.6642314,None,7.6741225,7.786607567,8.1126913,8.0906421,8.0906927,8.1126913,8.1126913,8.1126913,13.8228423,50,1,[5.72923169999558],[5.729263199988054],756777,1,2024-11-14_22h39.01.129,Task6_IntentionalBinding,2024.1.5,None,2024-11-14 22h39.09.722308 +0530
0.4,1000,unexp,0,1,1,4,13.8371815,,13.8245675,13.8371815,18.8525906,20.8360067,20.8360067,21.5537782,space,0.7015133,None,21.5543828,21.96915077,22.2809243,22.2699583,22.2700102,22.2809243,22.2809243,22.2809243,31.9706723,200,1,[9.698667500008014],[9.698678500004462],756777,1,2024-11-14_22h39.01.129,Task6_IntentionalBinding,2024.1.5,None,2024-11-14 22h39.09.722308 +0530
0.4,400,exp,0,2,2,7,31.9856203,,31.9714554,31.9856203,36.9850922,38.9849743,38.9849743,39.5697095,space,0.5702698,None,39.5703186,39.98492677,40.2914249,40.2802288,40.2802713,40.2914249,40.2914249,40.2914249,44.9539671,150,1,[4.67177570000058],[4.6717874000023585],756777,1,2024-11-14_22h39.01.129,Task6_IntentionalBinding,2024.1.5,None,2024-11-14 22h39.09.722308 +0530
0.7,1000,unexp,0,3,3,2,44.9681059,,44.9549416,44.9681059,49.9678759,51.967985,51.967985,52.6866349,space,0.7023369,None,52.6873638,53.40132087,53.7102528,53.6999181,53.699951,53.7102528,53.7102528,53.7102528,61.4852286,173,1,[7.783326900011161],[7.783333400002448],756777,1,2024-11-14_22h39.01.129,Task6_IntentionalBinding,2024.1.5,None,2024-11-14 22h39.09.722308 +0530
0.1,400,exp,0,4,4,9,61.5012235,,61.4859812,61.5012235,66.5004168,68.5003929,68.5003929,68.9849088,space,0.4756116,None,68.9854286,69.10081717,69.4112514,69.4002212,69.4002691,69.4112514,69.4112514,69.4112514,78.6898382,140,1,[9.287439699997776],[9.287453900004039],756777,1,2024-11-14_22h39.01.129,Task6_IntentionalBinding,2024.1.5,None,2024-11-14 22h39.09.722308 +0530
0.1,1000,unexp,0,5,5,0,78.6997624,,78.6912205,78.6997624,83.6996623,85.6995736,85.6995736,86.1177515,space,0.4124609,None,86.1184727,86.23295287,86.5410051,86.5298777,86.5299206,86.5410051,86.5410051,86.5410051,90.6365819,100,1,[4.104759200010449],[4.104770300007658],756777,1,2024-11-14_22h39.01.129,Task6_IntentionalBinding,2024.1.5,None,2024-11-14 22h39.09.722308 +0530
0.7,400,exp,0,6,6,8,90.6492187,,90.6376444,90.6492187,95.6490443,97.6491387,97.6491387,97.9668743,space,0.3070157,None,97.9676497,98.68215867,98.9894651,98.979729,98.979759,98.9894651,98.9894651,98.9894651,103.1668439,210,1,[4.185160000008182],[4.185169600008521],756777,1,2024-11-14_22h39.01.129,Task6_IntentionalBinding,2024.1.5,None,2024-11-14 22h39.09.722308 +0530
0.4,1000,unexp,0,7,7,1,103.182253,,103.1679108,103.182253,108.1815463,110.1813255,110.1813255,110.4504843,space,0.2671801,None,110.4512787,110.8647267,111.1706625,111.1596222,111.1596526,111.1706625,111.1706625,111.1706625,114.9161412,311,1,[3.754542800001218],[3.7545763999951305],756777,1,2024-11-14_22h39.01.129,Task6_IntentionalBinding,2024.1.5,None,2024-11-14 22h39.09.722308 +0530
0.7,400,exp,0,8,8,5,114.9312528,,114.9173301,114.9312528,119.9308451,121.9307977,121.9307977,122.3160704,space,0.3794871,None,122.316889,123.0309131,123.3413133,123.330141,123.3301813,123.3413133,123.3413133,123.3413133,129.9655281,129,1,[6.633554399988498],[6.63356269999349],756777,1,2024-11-14_22h39.01.129,Task6_IntentionalBinding,2024.1.5,None,2024-11-14 22h39.09.722308 +0530
0.1,400,exp,0,9,9,6,129.981251,,129.9663175,129.981251,134.9806883,136.9804705,136.9804705,137.3984133,space,0.4159514,None,137.3991141,137.5136407,137.8220749,137.8097698,137.8098192,137.8220749,137.8220749,137.8220749,142.2811611,179,1,[4.469127799995476],[4.469135299994377],756777,1,2024-11-14_22h39.01.129,Task6_IntentionalBinding,2024.1.5,None,2024-11-14 22h39.09.722308 +0530
0.7,1000,unexp,1,0,10,2,142.296759,,142.2818578,142.296759,147.2965761,149.296331,149.296331,149.7143877,space,0.413757,None,149.715008,150.4295472,150.7397485,150.7297059,150.7297493,150.7397485,150.7397485,150.7397485,154.3307385,130,1,[3.5995814000052633],[3.59958860000188],756777,1,2024-11-14_22h39.01.129,Task6_IntentionalBinding,2024.1.5,None,2024-11-14 22h39.09.722308 +0530
0.4,400,exp,1,1,11,7,154.3458586,,154.3314009,154.3458586,159.3455631,161.3457449,161.3457449,161.7301658,space,0.3716798,None,161.7307438,162.1459213,162.4630922,162.4500226,162.4500681,162.4630922,162.4630922,162.4630922,165.0638708,110,1,[2.611535799995181],[2.6115448999917135],756777,1,2024-11-14_22h39.01.129,Task6_IntentionalBinding,2024.1.5,None,2024-11-14 22h39.09.722308 +0530
