delay,freq,condition,textbox.text,,,,,,,
0.1,1000,exp,231,,231,,,,,
0.7,1000,exp,119,,119,,,,,
0.7,1000,exp,96,,96,,,,,
0.1,1000,exp,164,,164,,,,,
0.4,1000,exp,94,,94,,,,,
0.1,400,unexp,340,,231,340,,Avg. Expected Trials,,486.7180617
0.4,1000,exp,231,,341,129,,,,
0.1,1000,exp,341,,367,345,,,,
0.4,400,unexp,129,,411,234,,Avg. Unexpected Trials,,441.9403974
0.7,400,unexp,345,,334,346,,Difference between conditions,,44.77766432
0.4,1000,exp,367,,126,415,,,,
0.7,1000,exp,411,,364,669,,,,
0.1,1000,exp,334,,421,757,,,,
0.4,1000,exp,126,,215,890,,,,
0.1,1000,exp,364,,321,677,,,,
0.7,1000,exp,421,,678,365,,,,
0.1,400,unexp,234,,233,780,,,,
0.7,400,unexp,346,,888,256,,,,
0.7,1000,exp,215,,334,146,,,,
0.4,400,unexp,415,,983,394,,,,
0.4,1000,exp,321,,898,432,,,,
0.7,1000,exp,678,,298,686,,,,
0.4,1000,exp,233,,807,740,,,,
0.1,1000,exp,888,,324,879,,,,
0.4,400,unexp,669,,576,567,,,,
0.7,1000,exp,334,,552,772,,,,
0.1,400,unexp,757,,867,559,,,,
0.4,1000,exp,983,,410,419,,,,
0.4,1000,exp,898,,469,521,,,,
0.1,1000,exp,298,,657,222,,,,
0.1,1000,exp,807,,836,700,,,,
0.7,1000,exp,324,,990,900,,,,
0.1,1000,exp,576,,23,625,,,,
0.7,400,unexp,890,,653,267,,,,
0.4,1000,exp,552,,343,134,,,,
0.7,1000,exp,867,,676,227,,,,
0.4,1000,exp,410,,456,722,,,,
0.4,1000,exp,469,,213,72,,,,
0.4,400,unexp,677,,660,33,,,,
0.1,400,unexp,365,,688,681,,,,
0.1,1000,exp,657,,456,679,,,,
0.7,1000,exp,836,,676,34,,,,
0.1,1000,exp,990,,101,77,,,,
0.7,1000,exp,23,,767,700,,,,
0.4,1000,exp,653,,521,173,,,,
0.7,400,unexp,780,,315,100,,,,
0.7,1000,exp,343,,879,311,,,,
0.1,1000,exp,676,,999,130,,,,
0.1,400,unexp,256,,319,135,,,,
0.7,400,unexp,146,,329,125,,,,
0.4,400,unexp,394,,787,111,,,,
0.7,1000,exp,456,,450,231,,,,
0.4,1000,exp,213,,322,130,,,,
0.1,1000,exp,660,,710,170,,,,
0.1,1000,exp,688,,836,237,,,,
0.7,1000,exp,456,,719,100,,,,
0.4,1000,exp,676,,200,400,,,,
0.4,1000,exp,101,,789,126,,,,
0.1,1000,exp,767,,813,117,,,,
0.7,1000,exp,521,,676,142,,,,
0.7,1000,exp,315,,111,167,,,,
0.1,1000,exp,879,,545,118,,,,
0.1,1000,exp,999,,717,141,,,,
0.4,1000,exp,319,,421,450,,,,
0.7,400,unexp,432,,670,125,,,,
0.1,400,unexp,686,,318,"214
",,,,
0.1,1000,exp,329,,336,239,,,,
0.4,400,unexp,740,,89,213,,,,
0.4,1000,exp,787,,76,210,,,,
0.7,1000,exp,450,,489,312,,,,
0.4,1000,exp,322,,693,211,,,,
0.7,1000,exp,710,,90,210,,,,
0.4,1000,exp,836,,676,419,,,,
0.7,1000,exp,719,,771,631,,,,
0.1,400,unexp,879,,555,214,,,,
0.1,1000,exp,200,,67,659,,,,
0.7,400,unexp,567,,421,378,,,,
0.7,1000,exp,789,,300,318,,,,
0.1,1000,exp,813,,326,412,,,,
0.1,1000,exp,676,,775,231,,,,
0.4,1000,exp,111,,612,421,,,,
0.4,400,unexp,772,,989,213,,,,
0.4,1000,exp,545,,887,714,,,,
0.7,1000,exp,717,,787,389,,,,
